seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAYISS010000030.1	60713	No terminal repeats	63	11	1.0000	NA	18	40.7808	G_tfc2;G_tfc3;T_virB1;G_tfc5;t4cp1;G_tfc7;G_tfc8;G_tfc9;G_tfc10;G_tfc11;G_tfc12;G_tfc13;G_tfc14;G_tfc15;virb4;G_tfc24;G_tfc23;G_tfc22;G_tfc18;G_tfc19;MOBH	NA
JAYISS010000044.1	9204	No terminal repeats	12	11	1.0000	NA	0	4.4609	NA	NA
JAYISS010000033.1	44997	DTR	54	11	0.9999	NA	10	24.3078	MOBP1;T_virB9;T_virB8;T_virB6;T_virB5;virb4;T_virB3	NA
JAYISS010000035.1	39976	DTR	51	11	0.9999	NA	11	18.7443	I_traV;T_virB2;T_virB3;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
JAYISS010000055.1	3179	No terminal repeats	4	11	0.9998	NA	1	3.4366	T_virB6	NA
JAYISS010000041.1	15422	No terminal repeats	13	11	0.9998	NA	0	2.6637	NA	NA
JAYISS010000053.1	5638	No terminal repeats	9	11	0.9997	NA	0	0.3559	NA	NA
JAYISS010000018.1	126353	No terminal repeats	145	11	0.9997	NA	9	27.9278	I_trbA;I_traW;I_traY;I_traK;I_traI;I_traM;I_traN;traU	NA
JAYISS010000049.1	6249	No terminal repeats	9	11	0.9993	NA	0	1.1242	NA	NA
JAYISS010000056.1	3061	No terminal repeats	3	11	0.9968	NA	2	2.6906	virb4;T_virB6	NA
JAYISS010000045.1	8971	No terminal repeats	7	11	0.9004	NA	0	0.3254	NA	NA
JAYISS010000037.1	33266	No terminal repeats	28	11	0.7956	NA	0	3.0122	NA	NA
