gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	taxid	taxname	annotation_accessions	annotation_description
CP142009.1|provirus_2502692_2521536_2098	2502692	2503660	969	-1	0.686	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2099	2503853	2504908	1056	1	0.684	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2100	2505232	2505507	276	1	0.547	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2101	2505504	2507753	2250	-1	0.646	11	GGA/GAG/AGG	GENOMAD.146534.CP	0.0004755	46	0	0	0	1	NA	NA	NA	PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
CP142009.1|provirus_2502692_2521536_2102	2507898	2507993	96	1	0.406	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2103	2508662	2508853	192	-1	0.641	11	GGA/GAG/AGG	GENOMAD.223687.VP	4.024e-06	44	0	0	1	2773	Inoviridae	NA	NA	PF12472	Phage related protein
CP142009.1|provirus_2502692_2521536_2104	2509143	2509310	168	1	0.643	11	GGA/GAG/AGG	GENOMAD.096365.VV	1.811e-16	73	0	0	0	2773	Inoviridae	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2105	2509303	2510343	1041	1	0.579	11	GGAG/GAGG	GENOMAD.222675.VP	1.303e-229	704	0	0	0	2773	Inoviridae	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2106	2510340	2510636	297	1	0.589	11	GGA/GAG/AGG	GENOMAD.222243.VP	2.269e-49	170	0	0	1	2773	Inoviridae	NA	NA	PF02303	Helix-destabilising protein
CP142009.1|provirus_2502692_2521536_2107	2510640	2510891	252	1	0.643	11	GGA/GAG/AGG	GENOMAD.148914.VV	9.112e-21	87	0	0	1	1	NA	NA	NA	PF17091	Inovirus G7P protein
CP142009.1|provirus_2502692_2521536_2108	2510919	2511047	129	1	0.558	11	AGGAG	GENOMAD.112093.VV	5.817e-14	65	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2109	2511676	2512002	327	1	0.648	11	None	GENOMAD.227990.VV	5.121e-22	92	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2110	2511954	2512235	282	1	0.574	11	GGAG/GAGG	GENOMAD.097192.VV	7.597e-12	62	0	0	0	2773	Inoviridae	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2111	2512370	2512690	321	1	0.555	11	GGAG/GAGG	GENOMAD.214060.VP	4.995e-45	158	0	0	0	2773	Inoviridae	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2112	2512692	2514014	1323	1	0.618	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2113	2514034	2514342	309	-1	0.576	11	AGxAGG/AGGxGG	GENOMAD.160041.VV	1.232e-57	194	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2114	2514409	2514747	339	-1	0.652	11	GGA/GAG/AGG	GENOMAD.212325.VP	4.022e-50	173	0	0	1	2773	Inoviridae	NA	NA	PF12375;PF12472	Phage protein; Phage related protein
CP142009.1|provirus_2502692_2521536_2115	2515640	2516962	1323	-1	0.609	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2116	2516908	2517282	375	-1	0.555	11	GGAG/GAGG	GENOMAD.214060.VP	9.446e-39	141	0	0	0	2773	Inoviridae	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2117	2517293	2517574	282	-1	0.564	11	GGAG/GAGG	GENOMAD.097192.VV	1.524e-12	64	0	0	0	2773	Inoviridae	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2118	2517526	2517816	291	-1	0.636	11	None	GENOMAD.227990.VV	3.33e-21	89	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2119	2518443	2518571	129	-1	0.566	11	AGGAG	GENOMAD.112093.VV	2.595e-14	66	0	0	0	1	NA	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2120	2518599	2518850	252	-1	0.639	11	GGA/GAG/AGG	GENOMAD.148914.VV	9.112e-21	87	0	0	1	1	NA	NA	NA	PF17091	Inovirus G7P protein
CP142009.1|provirus_2502692_2521536_2121	2518854	2519150	297	-1	0.589	11	GGA/GAG/AGG	GENOMAD.222243.VP	2.269e-49	170	0	0	1	2773	Inoviridae	NA	NA	PF02303	Helix-destabilising protein
CP142009.1|provirus_2502692_2521536_2122	2519147	2520187	1041	-1	0.582	11	GGAG/GAGG	GENOMAD.222675.VP	1.303e-229	704	0	0	0	2773	Inoviridae	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2123	2520180	2520347	168	-1	0.631	11	GGA/GAG/AGG	GENOMAD.096365.VV	8.09e-17	74	0	0	0	2773	Inoviridae	NA	NA	NA	NA
CP142009.1|provirus_2502692_2521536_2124	2520886	2521536	651	-1	0.562	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
