system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
1,JAUBLB010000005.1,zorya_type_III,JAUBLB010000005.1_14,PDLC00652,ZorF3_00001,ZorF3,1.8999999999999994e-74,2.0999999999999996e-74,0.969,0.864,13704,14375,-,-,14,53,"PDLC00653,ZorF3_00002, 1, 1.5e-17, 0.446, 0.367 | PDLC00653,ZorF3_00002, 2, 4.3e-37, 0.487, 0.391 | PDLC00652,ZorF3_00001, 1, 2.1e-74, 0.969, 0.864 | PDLC00655,ZorF3_00004, 1, 2.9e-50, 0.888, 0.874 | PDLC00654,ZorF3_00003, 1, 5.1e-40, 0.5, 0.715","PDLC00652, ZorF3_00001, 2.1e-74, 0.969, 0.864 | PDLC00655, ZorF3_00004, 2.9e-50, 0.888, 0.874 | PDLC00654, ZorF3_00003, 5.1e-40, 0.5, 0.715 | PDLC00653, ZorF3_00002, 4.3e-37, 0.487, 0.391"
1,JAUBLB010000005.1,zorya_type_III,JAUBLB010000005.1_15,PDLC00651,ZorB3_00001,ZorB3,6.099999999999999e-114,7.199999999999999e-114,0.933,0.977,14372,15046,-,-,15,53,"PDLC00651,ZorB3_00001, 1, 7.2e-114, 0.933, 0.977","PDLC00651, ZorB3_00001, 7.2e-114, 0.933, 0.977"
1,JAUBLB010000005.1,zorya_type_III,JAUBLB010000005.1_16,PDLC00647,ZorA3_00001,ZorA3,0,1.3999999999999997e-177,0.437,0.468,15043,17547,-,-,16,53,"PDLC00650,ZorA3_00004, 1, 7.3e-175, 0.434, 0.341 | PDLC00650,ZorA3_00004, 2, 4.1e-13, 0.085, 0.067 | PDLC00650,ZorA3_00004, 3, 7.1e-44, 0.193, 0.151 | PDLC00650,ZorA3_00004, 4, 2.5e-121, 0.321, 0.252 | PDLC00647,ZorA3_00001, 1, 1.4e-177, 0.437, 0.468 | PDLC00647,ZorA3_00001, 2, 1.2e-11, 0.085, 0.091 | PDLC00647,ZorA3_00001, 3, 2.1e-29, 0.175, 0.187 | PDLC00647,ZorA3_00001, 4, 2.5e-115, 0.328, 0.351 | PDLC00648,ZorA3_00002, 1, 2.8e-155, 0.43, 0.517 | PDLC00648,ZorA3_00002, 2, 8e-08, 0.081, 0.098 | PDLC00648,ZorA3_00002, 3, 2.4e-120, 0.483, 0.577 | PDLC00649,ZorA3_00003, 1, 5.2e-175, 0.434, 0.519 | PDLC00649,ZorA3_00003, 2, 9e-13, 0.084, 0.1 | PDLC00649,ZorA3_00003, 3, 7.6e-150, 0.483, 0.577","PDLC00647, ZorA3_00001, 1.4e-177, 0.437, 0.468 | PDLC00649, ZorA3_00003, 5.2e-175, 0.434, 0.519 | PDLC00650, ZorA3_00004, 7.3e-175, 0.434, 0.341 | PDLC00648, ZorA3_00002, 2.8e-155, 0.43, 0.517"
1,JAUBLB010000005.1,zorya_type_III,JAUBLB010000005.1_17,PDLC00658,ZorG3_00003,ZorG3,2.8999999999999995e-86,3.1999999999999997e-86,0.988,0.9,17525,18262,-,-,17,53,"PDLC00657,ZorG3_00002, 1, 3.7e-32, 0.951, 0.927 | PDLC00658,ZorG3_00003, 1, 3.2e-86, 0.988, 0.9 | PDLC00656,ZorG3_00001, 1, 2.6e-51, 0.789, 0.69 | PDLC00656,ZorG3_00001, 2, 2.1e-16, 0.183, 0.158","PDLC00658, ZorG3_00003, 3.2e-86, 0.988, 0.9 | PDLC00656, ZorG3_00001, 2.6e-51, 0.789, 0.69 | PDLC00657, ZorG3_00002, 3.7e-32, 0.951, 0.927"
2,JAUBLB010000011.1,PDC-S55,JAUBLB010000011.1_46,PDLC05037,PDC-S55_WP_162277864.1,PDC-S55,9.800000000000001e-36,1.1999999999999999e-35,0.942,0.984,52609,53175,+,-,46,46,"PDLC05037,PDC-S55_WP_162277864.1, 1, 1.2e-35, 0.942, 0.984","PDLC05037, PDC-S55_WP_162277864.1, 1.2e-35, 0.942, 0.984"
3,JAUBLB010000012.1,PD-T7-1or5,JAUBLB010000012.1_12,PDLC04110,PD-T7-5_WP_098786838.1,PD-T7-5,1.8e-123,1.9999999999999998e-123,0.985,0.983,7622,8647,+,-,12,48,"PDLC04073,PD-T7-1_WP_205975857.1, 1, 4.7e-42, 0.942, 0.715 | PDLC04110,PD-T7-5_WP_098786838.1, 1, 2e-123, 0.985, 0.983","PDLC04110, PD-T7-5_WP_098786838.1, 2e-123, 0.985, 0.983 | PDLC04073, PD-T7-1_WP_205975857.1, 4.7e-42, 0.942, 0.715"
4,JAUBLB010000012.1,PDC-S39,JAUBLB010000012.1_16,PDLC05012,PDC-S39_WP_095017002.1,PDC-S39,6.499999999999998e-99,8.999999999999997e-99,0.947,0.959,12891,14750,-,-,16,48,"PDLC05011,PDC-S39_WP_191556434.1, 1, 1.4e-85, 0.905, 0.919 | PDLC05012,PDC-S39_WP_095017002.1, 1, 9e-99, 0.947, 0.959","PDLC05012, PDC-S39_WP_095017002.1, 9e-99, 0.947, 0.959 | PDLC05011, PDC-S39_WP_191556434.1, 1.4e-85, 0.905, 0.919"
5,JAUBLB010000022.1,PT_SspABCD,JAUBLB010000022.1_2,PDLC02769,SspB_00010,SspB,9.099999999999998e-105,1.0999999999999997e-104,0.897,0.982,1147,2082,+,-,2,32,"PDLC02768,SspB_00009, 1, 2.8e-66, 0.949, 0.986 | PDLC02764,SspB_00005, 1, 7.8e-50, 0.897, 0.978 | PDLC02765,SspB_00006, 1, 1.5e-38, 0.894, 0.962 | PDLC02767,SspB_00008, 1, 1e-28, 0.894, 0.976 | PDLC02769,SspB_00010, 1, 1.1e-104, 0.897, 0.982 | PDLC02762,SspB_00003, 1, 1e-28, 0.929, 0.976 | PDLC02763,SspB_00004, 1, 1.6e-21, 0.901, 0.928 | PDLC02766,SspB_00007, 1, 3.3e-69, 0.894, 0.979 | PDLC02761,SspB_00002, 1, 0.00021, 0.205, 0.188 | PDLC02761,SspB_00002, 2, 4.1e-22, 0.689, 0.674 | PDLC02760,SspB_00001, 1, 1.3e-40, 0.894, 0.989","PDLC02769, SspB_00010, 1.1e-104, 0.897, 0.982 | PDLC02766, SspB_00007, 3.3e-69, 0.894, 0.979 | PDLC02768, SspB_00009, 2.8e-66, 0.949, 0.986 | PDLC02764, SspB_00005, 7.8e-50, 0.897, 0.978 | PDLC02760, SspB_00001, 1.3e-40, 0.894, 0.989"
5,JAUBLB010000022.1,PT_SspABCD,JAUBLB010000022.1_3,PDLC02780,SspC_00011,SspC,0,0,0.935,0.995,2072,5398,+,-,3,32,"PDLC02771,SspC_00002, 1, 0.0055, 0.052, 0.071 | PDLC02771,SspC_00002, 2, 1.3e-13, 0.084, 0.115 | PDLC02771,SspC_00002, 3, 0.013, 0.042, 0.056 | PDLC02771,SspC_00002, 4, 4e-15, 0.255, 0.337 | PDLC02774,SspC_00005, 1, 6.1e-143, 0.927, 0.98 | PDLC02778,SspC_00009, 1, 1.8e-168, 0.913, 0.997 | PDLC02776,SspC_00007, 1, 3.7e-99, 0.902, 0.951 | PDLC02770,SspC_00001, 1, 4.2e-175, 0.92, 0.995 | PDLC02781,SspC_00012, 1, 2.3e-183, 0.919, 0.966 | PDLC02779,SspC_00010, 1, 3.6e-211, 0.914, 0.997 | PDLC02775,SspC_00006, 1, 7e-151, 0.92, 0.993 | PDLC02780,SspC_00011, 1, 0, 0.935, 0.995 | PDLC02772,SspC_00003, 1, 1.5e-126, 0.911, 0.939 | PDLC02773,SspC_00004, 1, 1.3e-87, 0.867, 0.959 | PDLC02777,SspC_00008, 1, 1.1e-113, 0.923, 0.966","PDLC02780, SspC_00011, 0, 0.935, 0.995 | PDLC02779, SspC_00010, 3.6e-211, 0.914, 0.997 | PDLC02781, SspC_00012, 2.3e-183, 0.919, 0.966 | PDLC02770, SspC_00001, 4.2e-175, 0.92, 0.995 | PDLC02778, SspC_00009, 1.8e-168, 0.913, 0.997"
5,JAUBLB010000022.1,PT_SspABCD,JAUBLB010000022.1_4,PDLC02782,SspD_00001,SspD,3.7999999999999986e-134,4.199999999999999e-134,0.982,0.996,5391,6227,+,-,4,32,"PDLC02782,SspD_00001, 1, 4.2e-134, 0.982, 0.996","PDLC02782, SspD_00001, 4.2e-134, 0.982, 0.996"
