system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
1,JBEGFY010000003.1,DMS_other,JBEGFY010000003.1_84,PDLC02653,DrmMII_00007,DrmMII,3.1e-16,4.2e-16,0.512,0.775,85441,86946,+,-,84,134,"PDLC03326,MTase_II_00112, 1, 2.5e-06, 0.251, 0.303 | PDLC03326,MTase_II_00112, 2, 14, 0.125, 0.15 | PDLC03307,MTase_II_00093, 1, 6.8e-06, 0.247, 0.28 | PDLC03307,MTase_II_00093, 2, 0.1, 0.135, 0.178 | PDLC03272,MTase_II_00058, 1, 3.4e-13, 0.528, 0.668 | PDLC03254,MTase_II_00040, 1, 9.1e-08, 0.221, 0.286 | PDLC03718,oMTase_00007, 1, 1.9e-07, 0.205, 0.265 | PDLC03712,oMTase_00001, 1, 5.2e-05, 0.351, 0.309 | PDLC02653,DrmMII_00007, 1, 4.2e-16, 0.512, 0.775 | PDLC03716,oMTase_00005, 1, 0.0062, 0.221, 0.312 | PDLC03716,oMTase_00005, 2, 20, 0.122, 0.178 | PDLC03368,MTase_II_00154, 1, 1e-08, 0.307, 0.375 | PDLC03378,MTase_II_00164, 1, 1.6e-14, 0.39, 0.555 | PDLC03279,MTase_II_00065, 1, 0.005, 0.207, 0.172 | PDLC03237,MTase_II_00023, 1, 3.3e-06, 0.337, 0.167 | PDLC03237,MTase_II_00023, 2, 420, 0.1, 0.048 | PDLC03242,MTase_II_00028, 1, 0.0023, 0.494, 0.584 | PDLC03234,MTase_II_00020, 1, 6e-10, 0.291, 0.384 | PDLC03234,MTase_II_00020, 2, 900, 0.106, 0.141 | PDLC03269,MTase_II_00055, 1, 0.0022, 0.287, 0.327 | PDLC02651,DrmMII_00005, 1, 3.8e-09, 0.263, 0.353 | PDLC03243,MTase_II_00029, 1, 7.3e-06, 0.277, 0.358 | PDLC03243,MTase_II_00029, 2, 110, 0.07, 0.093 | PDLC02654,DrmMII_00008, 1, 0.00038, 0.203, 0.298 | PDLC03217,MTase_II_00003, 1, 5.3e-05, 0.229, 0.159 | PDLC03361,MTase_II_00147, 1, 1.9e-15, 0.522, 0.629 | PDLC03286,MTase_II_00072, 1, 0.014, 0.199, 0.53 | PDLC03733,oMTase_00022, 1, 0.00039, 0.179, 0.2 | PDLC03733,oMTase_00022, 2, 77, 0.125, 0.145 | PDLC03220,MTase_II_00006, 1, 0.18, 0.191, 0.17 | PDLC03220,MTase_II_00006, 2, 2.7, 0.054, 0.051 | PDLC03330,MTase_II_00116, 1, 0.014, 0.239, 0.256 | PDLC03330,MTase_II_00116, 2, 220, 0.1, 0.116 | PDLC02647,DrmMII_00001, 1, 0.00015, 0.215, 0.224 | PDLC03388,MTase_II_00174, 1, 0.008, 0.225, 0.314 | PDLC03270,MTase_II_00056, 1, 640, 0.064, 0.104 | PDLC03270,MTase_II_00056, 2, 2.8e-09, 0.199, 0.301 | PDLC03731,oMTase_00020, 1, 1e-04, 0.251, 0.377 | PDLC02649,DrmMII_00003, 1, 2.2e-08, 0.243, 0.291 | PDLC02649,DrmMII_00003, 2, 330, 0.068, 0.081","PDLC02653, DrmMII_00007, 4.2e-16, 0.512, 0.775 | PDLC03361, MTase_II_00147, 1.9e-15, 0.522, 0.629 | PDLC03378, MTase_II_00164, 1.6e-14, 0.39, 0.555 | PDLC03272, MTase_II_00058, 3.4e-13, 0.528, 0.668 | PDLC03234, MTase_II_00020, 6e-10, 0.291, 0.384"
1,JBEGFY010000003.1,DMS_other,JBEGFY010000003.1_88,PDLC02627,DrmD_00010,DrmD,2.5e-20,4.1e-20,0.578,0.521,89186,91213,+,-,88,134,"PDLC02850,DpdE_00011, 1, 8.4e-07, 0.268, 0.147 | PDLC02850,DpdE_00011, 2, 7.4e-14, 0.198, 0.104 | PDLC00659,HmaA_00001, 1, 36, 0.155, 0.094 | PDLC00659,HmaA_00001, 2, 3.5e-09, 0.152, 0.089 | PDLC02500,BrxHI_00001, 1, 210, 0.062, 0.048 | PDLC02500,BrxHI_00001, 1, 210, 0.062, 0.048 | PDLC02500,BrxHI_00001, 2, 440, 0.074, 0.056 | PDLC02500,BrxHI_00001, 2, 440, 0.074, 0.056 | PDLC02500,BrxHI_00001, 3, 1.8e-11, 0.209, 0.153 | PDLC02500,BrxHI_00001, 3, 1.8e-11, 0.209, 0.153 | PDLC02851,DpdE_00012, 1, 0.0014, 0.271, 0.184 | PDLC02851,DpdE_00012, 2, 1.5e-11, 0.209, 0.132 | PDLC02854,DpdE_00015, 1, 0.088, 0.083, 0.055 | PDLC02854,DpdE_00015, 2, 2.4, 0.135, 0.08 | PDLC02854,DpdE_00015, 3, 2e-09, 0.216, 0.146 | PDLC02845,DpdE_00006, 1, 81, 0.09, 0.044 | PDLC02845,DpdE_00006, 2, 4.3e-19, 0.587, 0.333 | PDLC02619,DrmD_00002, 1, 5.5e-05, 0.214, 0.181 | PDLC02619,DrmD_00002, 2, 14, 0.059, 0.049 | PDLC02619,DrmD_00002, 3, 0.32, 0.099, 0.073 | PDLC02848,DpdE_00009, 1, 3.2e-07, 0.271, 0.223 | PDLC02849,DpdE_00010, 1, 1.2e-07, 0.271, 0.222 | PDLC02849,DpdE_00010, 2, 7.9e-14, 0.2, 0.156 | PDLC02623,DrmD_00006, 1, 370, 0.043, 0.03 | PDLC02623,DrmD_00006, 2, 1.1, 0.075, 0.049 | PDLC02623,DrmD_00006, 3, 0.00025, 0.186, 0.12 | PDLC02620,DrmD_00003, 1, 4e-07, 0.198, 0.125 | PDLC02852,DpdE_00013, 1, 4.1e-21, 0.62, 0.46 | PDLC02634,DrmD_00017, 1, 8.5, 0.118, 0.094 | PDLC02634,DrmD_00017, 2, 0.0046, 0.104, 0.077 | PDLC02627,DrmD_00010, 1, 4.1e-20, 0.578, 0.521 | PDLC02193,PLD_Helicase_00001, 1, 0.52, 0.127, 0.091 | PDLC02193,PLD_Helicase_00001, 2, 840, 0.038, 0.029 | PDLC02193,PLD_Helicase_00001, 3, 0.22, 0.172, 0.14 | PDLC02842,DpdE_00003, 1, 0.00042, 0.299, 0.189 | PDLC02842,DpdE_00003, 2, 7.9e-21, 0.312, 0.173 | PDLC02861,DpdF_00007, 1, 0.057, 0.148, 0.16 | PDLC02504,BrxHII_00001, 1, 660, 0.064, 0.047 | PDLC02504,BrxHII_00001, 1, 660, 0.064, 0.047 | PDLC02504,BrxHII_00001, 2, 1.6e-08, 0.207, 0.145 | PDLC02504,BrxHII_00001, 2, 1.6e-08, 0.207, 0.145 | PDLC02843,DpdE_00004, 1, 1.7e-05, 0.243, 0.145 | PDLC02843,DpdE_00004, 2, 0.00017, 0.198, 0.125 | PDLC02840,DpdE_00001, 1, 1.1e-05, 0.339, 0.21 | PDLC02621,DrmD_00004, 1, 450, 0.022, 0.014 | PDLC02621,DrmD_00004, 2, 0.0026, 0.173, 0.117 | PDLC02707,PbeA_00005, 1, 110, 0.059, 0.052 | PDLC02707,PbeA_00005, 2, 0.045, 0.096, 0.098 | PDLC02864,DpdF_00010, 1, 0.0035, 0.169, 0.177","PDLC02852, DpdE_00013, 4.1e-21, 0.62, 0.46 | PDLC02842, DpdE_00003, 7.9e-21, 0.312, 0.173 | PDLC02627, DrmD_00010, 4.1e-20, 0.578, 0.521 | PDLC02845, DpdE_00006, 4.3e-19, 0.587, 0.333 | PDLC02850, DpdE_00011, 7.4e-14, 0.198, 0.104"
2,JBEGFY010000005.1,SoFic,JBEGFY010000005.1_78,PDLC03963,SoFic__SoFic,SoFic,7.899999999999999e-122,9.999999999999998e-122,0.906,0.978,84873,86027,+,-,78,90,"PDLC03963,SoFic__SoFic, 1, 1e-121, 0.906, 0.978","PDLC03963, SoFic__SoFic, 1e-121, 0.906, 0.978"
3,JBEGFY010000035.1,PDC-S08,JBEGFY010000035.1_11,PDLC04900,PDC-S08_WP_202707215.1,PDC-S08,8.999999999999997e-127,1.3999999999999996e-126,0.981,0.935,9942,10907,+,-,11,40,"PDLC04900,PDC-S08_WP_202707215.1, 1, 1.4e-126, 0.981, 0.935","PDLC04900, PDC-S08_WP_202707215.1, 1.4e-126, 0.981, 0.935"
4,JBEGFY010000047.1,wadjet_other,JBEGFY010000047.1_12,PDLC00518,JetC1_00016,JetC,0,0,0.81,0.989,12233,16297,-,-,12,32,"PDLC00514,JetC1_00012, 1, 1.2e-128, 0.791, 0.964 | PDLC00519,JetC1_00017, 1, 1.9e-50, 0.789, 0.979 | PDLC00511,JetC1_00009, 1, 1e-181, 0.782, 0.948 | PDLC00513,JetC1_00011, 1, 4.1e-06, 0.049, 0.058 | PDLC00513,JetC1_00011, 2, 1e-10, 0.596, 0.693 | PDLC00510,JetC1_00008, 1, 1, 0.1, 0.112 | PDLC00510,JetC1_00008, 2, 3, 0.081, 0.099 | PDLC00510,JetC1_00008, 3, 1200, 0.032, 0.039 | PDLC00510,JetC1_00008, 4, 0.0063, 0.031, 0.038 | PDLC00505,JetC1_00003, 1, 1e-11, 0.086, 0.097 | PDLC00505,JetC1_00003, 2, 45, 0.124, 0.149 | PDLC00505,JetC1_00003, 3, 9.2e-09, 0.356, 0.422 | PDLC00505,JetC1_00003, 4, 0.005, 0.026, 0.031 | PDLC00509,JetC1_00007, 1, 2e-82, 0.776, 0.945 | PDLC00503,JetC1_00001, 1, 3e-07, 0.092, 0.103 | PDLC00503,JetC1_00001, 2, 4.8, 0.074, 0.087 | PDLC00503,JetC1_00001, 3, 11, 0.055, 0.06 | PDLC00503,JetC1_00001, 4, 14, 0.084, 0.092 | PDLC00503,JetC1_00001, 5, 0.046, 0.049, 0.062 | PDLC00516,JetC1_00014, 1, 7.6e-05, 0.079, 0.087 | PDLC00516,JetC1_00014, 2, 37, 0.083, 0.097 | PDLC00516,JetC1_00014, 3, 32, 0.121, 0.148 | PDLC00516,JetC1_00014, 4, 78, 0.081, 0.096 | PDLC00512,JetC1_00010, 1, 1.5e-256, 0.804, 0.98 | PDLC00517,JetC1_00015, 1, 1.4e-189, 0.797, 0.976 | PDLC00518,JetC1_00016, 1, 0, 0.81, 0.989","PDLC00518, JetC1_00016, 0, 0.81, 0.989 | PDLC00512, JetC1_00010, 1.5e-256, 0.804, 0.98 | PDLC00517, JetC1_00015, 1.4e-189, 0.797, 0.976 | PDLC00511, JetC1_00009, 1e-181, 0.782, 0.948 | PDLC00514, JetC1_00012, 1.2e-128, 0.791, 0.964"
4,JBEGFY010000047.1,wadjet_other,JBEGFY010000047.1_13,PDLC00501,JetB1_00034,JetB,1.9999999999999995e-109,2.1999999999999995e-109,0.987,0.953,16684,17385,-,-,13,32,"PDLC00480,JetB1_00013, 1, 6.5e-09, 0.756, 0.741 | PDLC00488,JetB1_00021, 1, 1.1e-14, 0.791, 0.642 | PDLC00485,JetB1_00018, 1, 4.8e-59, 0.859, 0.84 | PDLC00477,JetB1_00010, 1, 4.1e-15, 0.701, 0.884 | PDLC00496,JetB1_00029, 1, 1.2e-29, 0.774, 0.57 | PDLC00472,JetB1_00005, 1, 1.9e-36, 0.846, 0.824 | PDLC00468,JetB1_00001, 1, 3.5e-19, 0.624, 0.776 | PDLC00492,JetB1_00025, 1, 6.4e-05, 0.88, 0.701 | PDLC00473,JetB1_00006, 1, 5.2e-32, 0.808, 0.817 | PDLC00490,JetB1_00023, 1, 5.7e-07, 0.756, 0.766 | PDLC00476,JetB1_00009, 1, 2.4e-20, 0.761, 0.637 | PDLC00493,JetB1_00026, 1, 1.5e-05, 0.868, 0.717 | PDLC00499,JetB1_00032, 1, 2.5e-28, 0.782, 0.714 | PDLC00501,JetB1_00034, 1, 2.2e-109, 0.987, 0.953 | PDLC00487,JetB1_00020, 1, 4.3e-27, 0.705, 0.856 | PDLC00474,JetB1_00007, 1, 2e-23, 0.692, 0.797 | PDLC00481,JetB1_00014, 1, 1.2e-73, 0.833, 0.894 | PDLC00497,JetB1_00030, 1, 2.1e-30, 0.85, 0.797 | PDLC00495,JetB1_00028, 1, 9.4e-24, 0.756, 0.537 | PDLC00491,JetB1_00024, 1, 5.1e-06, 0.778, 0.68","PDLC00501, JetB1_00034, 2.2e-109, 0.987, 0.953 | PDLC00481, JetB1_00014, 1.2e-73, 0.833, 0.894 | PDLC00485, JetB1_00018, 4.8e-59, 0.859, 0.84 | PDLC00472, JetB1_00005, 1.9e-36, 0.846, 0.824 | PDLC00473, JetB1_00006, 5.2e-32, 0.808, 0.817"
4,JBEGFY010000047.1,wadjet_other,JBEGFY010000047.1_14,PDLC00460,JetA1_00019,JetA,1.0999999999999996e-193,1.1999999999999995e-193,0.994,0.996,17372,18841,-,-,14,32,"PDLC00464,JetA1_00023, 1, 6.6e-53, 0.976, 0.97 | PDLC00457,JetA1_00016, 1, 3.2e-92, 0.959, 0.977 | PDLC00452,JetA1_00011, 1, 1.7e-38, 0.971, 0.964 | PDLC00459,JetA1_00018, 1, 9.2e-24, 0.963, 0.947 | PDLC00460,JetA1_00019, 1, 1.2e-193, 0.994, 0.996 | PDLC00463,JetA1_00022, 1, 1.4e-19, 0.833, 0.754 | PDLC00455,JetA1_00014, 1, 1.4e-30, 0.886, 0.893 | PDLC00461,JetA1_00020, 1, 4.1e-61, 0.973, 0.965 | PDLC00465,JetA1_00024, 1, 1.6e-36, 0.943, 0.91 | PDLC00444,JetA1_00003, 1, 1.3e-49, 0.92, 0.945 | PDLC00447,JetA1_00006, 1, 2.9e-59, 0.978, 0.979","PDLC00460, JetA1_00019, 1.2e-193, 0.994, 0.996 | PDLC00457, JetA1_00016, 3.2e-92, 0.959, 0.977 | PDLC00461, JetA1_00020, 4.1e-61, 0.973, 0.965 | PDLC00447, JetA1_00006, 2.9e-59, 0.978, 0.979 | PDLC00464, JetA1_00023, 6.6e-53, 0.976, 0.97"
5,JBEGFY010000049.1,zorya_type_III,JBEGFY010000049.1_23,PDLC00658,ZorG3_00003,ZorG3,3.2999999999999994e-88,3.699999999999999e-88,0.988,0.9,18481,19218,+,-,23,34,"PDLC00657,ZorG3_00002, 1, 1.3e-33, 0.935, 0.911 | PDLC00658,ZorG3_00003, 1, 3.7e-88, 0.988, 0.9 | PDLC00656,ZorG3_00001, 1, 1.6e-53, 0.829, 0.725 | PDLC00656,ZorG3_00001, 2, 4.6e-17, 0.195, 0.169","PDLC00658, ZorG3_00003, 3.7e-88, 0.988, 0.9 | PDLC00656, ZorG3_00001, 1.6e-53, 0.829, 0.725 | PDLC00657, ZorG3_00002, 1.3e-33, 0.935, 0.911"
5,JBEGFY010000049.1,zorya_type_III,JBEGFY010000049.1_24,PDLC00647,ZorA3_00001,ZorA3,0,1.0999999999999996e-177,0.405,0.468,19196,21901,+,-,24,34,"PDLC00650,ZorA3_00004, 1, 3.3e-174, 0.401, 0.341 | PDLC00650,ZorA3_00004, 2, 7e-13, 0.078, 0.066 | PDLC00650,ZorA3_00004, 3, 2.7e-11, 0.068, 0.057 | PDLC00650,ZorA3_00004, 4, 8.6e-49, 0.198, 0.168 | PDLC00650,ZorA3_00004, 5, 8.5e-127, 0.298, 0.253 | PDLC00647,ZorA3_00001, 1, 1.1e-177, 0.405, 0.468 | PDLC00647,ZorA3_00001, 2, 3e-11, 0.081, 0.094 | PDLC00647,ZorA3_00001, 3, 1.3e-09, 0.075, 0.087 | PDLC00647,ZorA3_00001, 4, 7.2e-31, 0.167, 0.194 | PDLC00647,ZorA3_00001, 5, 3.7e-120, 0.308, 0.356 | PDLC00648,ZorA3_00002, 1, 4.7e-154, 0.398, 0.517 | PDLC00648,ZorA3_00002, 2, 1.7e-10, 0.086, 0.113 | PDLC00648,ZorA3_00002, 3, 2.4e-06, 0.074, 0.097 | PDLC00648,ZorA3_00002, 4, 7e-126, 0.452, 0.584 | PDLC00649,ZorA3_00003, 1, 6e-177, 0.401, 0.519 | PDLC00649,ZorA3_00003, 2, 3e-12, 0.076, 0.099 | PDLC00649,ZorA3_00003, 3, 7.8e-12, 0.076, 0.099 | PDLC00649,ZorA3_00003, 4, 9e-156, 0.446, 0.576","PDLC00647, ZorA3_00001, 1.1e-177, 0.405, 0.468 | PDLC00649, ZorA3_00003, 6e-177, 0.401, 0.519 | PDLC00650, ZorA3_00004, 3.3e-174, 0.401, 0.341 | PDLC00648, ZorA3_00002, 4.7e-154, 0.398, 0.517"
5,JBEGFY010000049.1,zorya_type_III,JBEGFY010000049.1_25,PDLC00651,ZorB3_00001,ZorB3,6.999999999999999e-115,8.299999999999999e-115,0.933,0.977,21898,22572,+,-,25,34,"PDLC00651,ZorB3_00001, 1, 8.3e-115, 0.933, 0.977","PDLC00651, ZorB3_00001, 8.3e-115, 0.933, 0.977"
