JAUIOT010000010.1_tRNA1_???	109843	109915
JAUIOT010000011.1_tRNA1_Met	512	587
JAUIOT010000001.1_tRNA1_Lys	197031	197106
JAUIOT010000022.1_tRNA1_Asp	1	75
JAUIOT010000022.1_tRNA2_Asp	172	248
JAUIOT010000022.1_tRNA3_Val	278	352
JAUIOT010000022.1_tRNA4_Leu	7094	7178
JAUIOT010000022.1_tRNA5_Lys	7256	7331
JAUIOT010000022.1_tRNA6_His	7415	7491
JAUIOT010000022.1_tRNA7_Arg	7523	7599
JAUIOT010000022.1_tRNA8_Pro	7643	7719
JAUIOT010000024.1_tRNA1_Gly	5649	5722
JAUIOT010000002.1_tRNA1_Ser	6827	6919
JAUIOT010000002.1_tRNA2_Ser	94260	94349
JAUIOT010000008.1_tRNA1_Leu	62492	62578
