system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
1,RRXD01000006.1,RM_type_IIG,RRXD01000006.1_2,PDLC03598,REase_MTase_IIG_00003,REase_MTase_IIG,1.3999999999999993e-266,1.699999999999999e-266,0.976,0.836,114,2516,+,-,2,9,"PDLC03617,REase_MTase_IIG_00022, 1, 0.00064, 0.084, 0.056 | PDLC03598,REase_MTase_IIG_00003, 1, 1.7e-266, 0.976, 0.836 | PDLC03610,REase_MTase_IIG_00015, 1, 0.0051, 0.139, 0.097 | PDLC03630,REase_MTase_IIG_00035, 1, 1.2e-06, 0.159, 0.105 | PDLC03629,REase_MTase_IIG_00034, 1, 0.016, 0.114, 0.091 | PDLC03609,REase_MTase_IIG_00014, 1, 0.04, 0.095, 0.079 | PDLC03612,REase_MTase_IIG_00017, 1, 0.00015, 0.07, 0.044 | PDLC03612,REase_MTase_IIG_00017, 2, 8.1, 0.081, 0.049 | PDLC03612,REase_MTase_IIG_00017, 3, 15, 0.075, 0.052 | PDLC03604,REase_MTase_IIG_00009, 1, 0.0093, 0.045, 0.036 | PDLC03600,REase_MTase_IIG_00005, 1, 0.00052, 0.082, 0.053 | PDLC03600,REase_MTase_IIG_00005, 2, 57, 0.037, 0.025 | PDLC03627,REase_MTase_IIG_00032, 1, 1.8e-64, 0.856, 0.632 | PDLC03599,REase_MTase_IIG_00004, 1, 5.7e-50, 0.936, 0.784","PDLC03598, REase_MTase_IIG_00003, 1.7e-266, 0.976, 0.836 | PDLC03627, REase_MTase_IIG_00032, 1.8e-64, 0.856, 0.632 | PDLC03599, REase_MTase_IIG_00004, 5.7e-50, 0.936, 0.784 | PDLC03630, REase_MTase_IIG_00035, 1.2e-06, 0.159, 0.105 | PDLC03612, REase_MTase_IIG_00017, 0.00015, 0.07, 0.044"
2,RRXD01000007.1,SoFic,RRXD01000007.1_91,PDLC03963,SoFic__SoFic,SoFic,4.499999999999999e-123,5.7999999999999994e-123,0.898,0.958,101367,102515,+,-,91,151,"PDLC03963,SoFic__SoFic, 1, 5.8e-123, 0.898, 0.958","PDLC03963, SoFic__SoFic, 5.8e-123, 0.898, 0.958"
4,RRXD01000008.1,PDC-S55,RRXD01000008.1_73,PDLC05037,PDC-S55_WP_162277864.1,PDC-S55,2e-36,2.5e-36,0.932,0.984,81065,81637,+,-,73,106,"PDLC05037,PDC-S55_WP_162277864.1, 1, 2.5e-36, 0.932, 0.984","PDLC05037, PDC-S55_WP_162277864.1, 2.5e-36, 0.932, 0.984"
3,RRXD01000008.1,PDC-S08,RRXD01000008.1_75,PDLC04900,PDC-S08_WP_202707215.1,PDC-S08,1.3999999999999996e-127,2.1999999999999993e-127,0.981,0.935,82414,83379,-,-,75,106,"PDLC04900,PDC-S08_WP_202707215.1, 1, 2.2e-127, 0.981, 0.935","PDLC04900, PDC-S08_WP_202707215.1, 2.2e-127, 0.981, 0.935"
5,RRXD01000009.1,ppl,RRXD01000009.1_7,PDLC02208,Ppl_00001,Ppl,8.599999999999997e-95,9.799999999999997e-95,0.988,0.699,9615,11603,-,-,7,8,"PDLC02208,Ppl_00001, 1, 9.8e-95, 0.988, 0.699","PDLC02208, Ppl_00001, 9.8e-95, 0.988, 0.699"
6,RRXD01000011.1,PsyrTA,RRXD01000011.1_262,PDLC03928,PsyrTA__PsyrT,PsyrT,3.299999999999998e-247,3.6999999999999976e-247,0.996,0.996,322882,324957,+,-,262,334,"PDLC03928,PsyrTA__PsyrT, 1, 3.7e-247, 0.996, 0.996","PDLC03928, PsyrTA__PsyrT, 3.7e-247, 0.996, 0.996"
6,RRXD01000011.1,PsyrTA,RRXD01000011.1_263,PDLC03927,PsyrTA__PsyrA,PsyrA,1.0999999999999999e-117,1.3e-117,0.978,0.99,324954,326321,+,-,263,334,"PDLC03927,PsyrTA__PsyrA, 1, 1.3e-117, 0.978, 0.99","PDLC03927, PsyrTA__PsyrA, 1.3e-117, 0.978, 0.99"
7,RRXD01000022.1,gabija,RRXD01000022.1_30,PDLC00070,GajA_00010,GajA,4.4999999999999973e-234,4.999999999999997e-234,0.995,0.997,25109,26896,+,-,30,61,"PDLC00096,GajA_00036, 1, 6.4e-76, 0.992, 0.973 | PDLC00083,GajA_00023, 1, 5.1e-50, 0.767, 0.74 | PDLC00082,GajA_00022, 1, 0.22, 0.081, 0.071 | PDLC00082,GajA_00022, 2, 1.3e-19, 0.329, 0.277 | PDLC00072,GajA_00012, 1, 5e-10, 0.193, 0.165 | PDLC00072,GajA_00012, 2, 3.8e-61, 0.725, 0.604 | PDLC00081,GajA_00021, 1, 6.5e-24, 0.767, 0.756 | PDLC00093,GajA_00033, 1, 0.099, 0.079, 0.065 | PDLC00093,GajA_00033, 2, 1.3e-27, 0.331, 0.284 | PDLC00093,GajA_00033, 3, 3.8, 0.081, 0.068 | PDLC00071,GajA_00011, 1, 2.9e-81, 0.99, 0.988 | PDLC00091,GajA_00031, 1, 1.6e-63, 0.988, 0.986 | PDLC00076,GajA_00016, 1, 4, 0.076, 0.067 | PDLC00076,GajA_00016, 2, 2e-17, 0.324, 0.267 | PDLC00069,GajA_00009, 1, 1.4e-13, 0.195, 0.175 | PDLC00069,GajA_00009, 2, 7.1e-42, 0.565, 0.524 | PDLC00069,GajA_00009, 3, 15, 0.087, 0.09 | PDLC00073,GajA_00013, 1, 5e-66, 0.988, 0.993 | PDLC00064,GajA_00004, 1, 3e-77, 0.721, 0.978 | PDLC00090,GajA_00030, 1, 5.2e-30, 0.767, 0.724 | PDLC00074,GajA_00014, 1, 2.4e-17, 0.282, 0.338 | PDLC00062,GajA_00002, 1, 0.00027, 0.077, 0.072 | PDLC00062,GajA_00002, 2, 7.6e-06, 0.131, 0.111 | PDLC00062,GajA_00002, 3, 6.6e-13, 0.146, 0.135 | PDLC00079,GajA_00019, 1, 0.074, 0.077, 0.067 | PDLC00079,GajA_00019, 2, 4.8e-17, 0.203, 0.187 | PDLC00094,GajA_00034, 1, 0.0011, 0.089, 0.093 | PDLC00094,GajA_00034, 2, 6.1e-24, 0.525, 0.531 | PDLC00089,GajA_00029, 1, 2.5e-12, 0.213, 0.395 | PDLC04169,GajA_WP_153499988.1, 1, 5.9e-05, 0.418, 0.523 | PDLC00075,GajA_00015, 1, 4.5e-34, 0.77, 0.789 | PDLC00068,GajA_00008, 1, 2.3e-27, 0.327, 0.376 | PDLC00068,GajA_00008, 2, 430, 0.086, 0.097 | PDLC00063,GajA_00003, 1, 0.011, 0.102, 0.085 | PDLC00063,GajA_00003, 2, 3.3e-26, 0.327, 0.311 | PDLC00097,GajA_00037, 1, 3.8e-17, 0.765, 0.733 | PDLC00102,GajA_00042, 1, 1.1e-05, 0.104, 0.118 | PDLC00102,GajA_00042, 2, 2.7e-08, 0.502, 0.459 | PDLC00078,GajA_00018, 1, 1.8e-07, 0.077, 0.079 | PDLC00078,GajA_00018, 2, 4.6e-12, 0.317, 0.293 | PDLC00101,GajA_00041, 1, 6.3e-51, 0.728, 0.652 | PDLC00101,GajA_00041, 2, 11, 0.049, 0.051 | PDLC04168,GajA_WP_183617960.1, 1, 220, 0.079, 0.086 | PDLC04168,GajA_WP_183617960.1, 2, 290, 0.025, 0.026 | PDLC04168,GajA_WP_183617960.1, 3, 9.1e-08, 0.287, 0.279 | PDLC00092,GajA_00032, 1, 8.9e-68, 0.992, 0.997 | PDLC00098,GajA_00038, 1, 1.1e-05, 0.117, 0.129 | PDLC00098,GajA_00038, 2, 0.0014, 0.284, 0.287 | PDLC00066,GajA_00006, 1, 2.3e-54, 0.768, 0.765 | PDLC00077,GajA_00017, 1, 7.7e-08, 0.193, 0.209 | PDLC00077,GajA_00017, 2, 2e-46, 0.78, 0.726 | PDLC00067,GajA_00007, 1, 3.2e-07, 0.101, 0.093 | PDLC00067,GajA_00007, 2, 9.2e-34, 0.51, 0.49 | PDLC00070,GajA_00010, 1, 5e-234, 0.995, 0.997 | PDLC00061,GajA_00001, 1, 31, 0.076, 0.071 | PDLC00061,GajA_00001, 2, 190, 0.07, 0.061 | PDLC00061,GajA_00001, 3, 5.2e-13, 0.28, 0.247 | PDLC00095,GajA_00035, 1, 0.071, 0.077, 0.062 | PDLC00095,GajA_00035, 2, 6.4e-26, 0.326, 0.275 | PDLC00095,GajA_00035, 3, 0.43, 0.169, 0.141 | PDLC00065,GajA_00005, 1, 0.55, 0.077, 0.081 | PDLC00065,GajA_00005, 2, 4.5e-28, 0.329, 0.303 | PDLC00065,GajA_00005, 3, 390, 0.047, 0.049 | PDLC00080,GajA_00020, 1, 6.1e-55, 0.772, 0.732 | PDLC00085,GajA_00025, 1, 5.9e-06, 0.076, 0.079 | PDLC00085,GajA_00025, 2, 0.017, 0.035, 0.036 | PDLC00085,GajA_00025, 3, 7.1e-16, 0.215, 0.212 | PDLC00084,GajA_00024, 1, 2.6e-30, 0.448, 0.589 | PDLC00084,GajA_00024, 2, 920, 0.062, 0.084 | PDLC00088,GajA_00028, 1, 2.4e-26, 0.331, 0.567 | PDLC00100,GajA_00040, 1, 0.00058, 0.087, 0.084 | PDLC00100,GajA_00040, 2, 7.8e-14, 0.341, 0.33 | PDLC00100,GajA_00040, 3, 6.5e-12, 0.369, 0.355 | PDLC00099,GajA_00039, 1, 4.4e-57, 0.99, 0.986 | PDLC00086,GajA_00026, 1, 8.6e-06, 0.141, 0.143 | PDLC00086,GajA_00026, 2, 1e-09, 0.28, 0.26 | PDLC00086,GajA_00026, 3, 91, 0.077, 0.075 | PDLC00087,GajA_00027, 1, 1.9e-12, 0.121, 0.332","PDLC00070, GajA_00010, 5e-234, 0.995, 0.997 | PDLC00071, GajA_00011, 2.9e-81, 0.99, 0.988 | PDLC00064, GajA_00004, 3e-77, 0.721, 0.978 | PDLC00096, GajA_00036, 6.4e-76, 0.992, 0.973 | PDLC00092, GajA_00032, 8.9e-68, 0.992, 0.997"
7,RRXD01000022.1,gabija,RRXD01000022.1_31,PDLC00108,GajB_00006,GajB,3.0999999999999986e-282,3.599999999999998e-282,0.734,0.998,26883,28697,+,-,31,61,"PDLC00134,GajB_00032, 1, 3.7e-14, 0.438, 0.608 | PDLC00111,GajB_00009, 1, 3.5e-07, 0.114, 0.109 | PDLC00111,GajB_00009, 2, 7e-07, 0.179, 0.17 | PDLC00111,GajB_00009, 3, 2.3, 0.031, 0.03 | PDLC00129,GajB_00027, 1, 2e-09, 0.131, 0.135 | PDLC00129,GajB_00027, 2, 2.4e-21, 0.193, 0.199 | PDLC00129,GajB_00027, 3, 0.0012, 0.102, 0.109 | PDLC00124,GajB_00022, 1, 0.1, 0.121, 0.102 | PDLC00124,GajB_00022, 2, 0.00019, 0.121, 0.102 | PDLC00148,GajB_00046, 1, 3.1e-06, 0.129, 0.195 | PDLC00148,GajB_00046, 2, 0.073, 0.074, 0.119 | PDLC00148,GajB_00046, 3, 0.19, 0.099, 0.163 | PDLC00145,GajB_00043, 1, 47, 0.053, 0.054 | PDLC00145,GajB_00043, 2, 2.1e-16, 0.164, 0.171 | PDLC00145,GajB_00043, 3, 110, 0.091, 0.091 | PDLC00114,GajB_00012, 1, 7.7e-36, 0.448, 0.439 | PDLC00114,GajB_00012, 2, 3.5e-09, 0.139, 0.134 | PDLC00130,GajB_00028, 1, 2.3e-57, 0.927, 0.968 | PDLC00136,GajB_00034, 1, 1.9e-25, 0.45, 0.479 | PDLC00136,GajB_00034, 2, 0.0028, 0.175, 0.191 | PDLC00132,GajB_00030, 1, 1.1e-35, 0.441, 0.446 | PDLC00132,GajB_00030, 2, 3.1e-11, 0.106, 0.104 | PDLC04173,GajB_WP_172889455.1, 1, 2, 0.127, 0.151 | PDLC04173,GajB_WP_172889455.1, 2, 3.3e-06, 0.093, 0.115 | PDLC04173,GajB_WP_172889455.1, 3, 45, 0.028, 0.036 | PDLC00103,GajB_00001, 1, 7.5e-20, 0.554, 0.542 | PDLC00103,GajB_00001, 2, 2e-08, 0.101, 0.095 | PDLC00131,GajB_00029, 1, 0.00025, 0.127, 0.122 | PDLC00131,GajB_00029, 2, 9e-09, 0.149, 0.138 | PDLC00131,GajB_00029, 3, 30, 0.035, 0.032 | PDLC00121,GajB_00019, 1, 2.3e-21, 0.435, 0.455 | PDLC00121,GajB_00019, 2, 1e-07, 0.134, 0.147 | PDLC00137,GajB_00035, 1, 0.0021, 0.109, 0.096 | PDLC00137,GajB_00035, 2, 0.2, 0.074, 0.066 | PDLC00137,GajB_00035, 3, 0.97, 0.086, 0.093 | PDLC00122,GajB_00020, 1, 5.3e-10, 0.136, 0.153 | PDLC00122,GajB_00020, 2, 5.2e-15, 0.145, 0.177 | PDLC00122,GajB_00020, 3, 0.00084, 0.093, 0.094 | PDLC00107,GajB_00005, 1, 2.3e-23, 0.438, 0.451 | PDLC00107,GajB_00005, 2, 0.00016, 0.101, 0.135 | PDLC00146,GajB_00044, 1, 0.0021, 0.121, 0.113 | PDLC00146,GajB_00044, 2, 3.4e-08, 0.147, 0.137 | PDLC00146,GajB_00044, 3, 150, 0.031, 0.029 | PDLC00141,GajB_00039, 1, 2e-04, 0.14, 0.15 | PDLC00141,GajB_00039, 2, 7.3e-08, 0.172, 0.175 | PDLC00141,GajB_00039, 3, 4.9e-07, 0.101, 0.108 | PDLC00118,GajB_00016, 1, 1.2e-24, 0.431, 0.433 | PDLC00118,GajB_00016, 2, 16, 0.083, 0.107 | PDLC00149,GajB_00047, 1, 6.6e-17, 0.44, 0.463 | PDLC00149,GajB_00047, 2, 5.5, 0.081, 0.092 | PDLC00105,GajB_00003, 1, 7.8e-19, 0.377, 0.357 | PDLC04171,GajB_WP_046787950.1, 1, 0.0025, 0.114, 0.163 | PDLC00133,GajB_00031, 1, 2.7e-25, 0.453, 0.707 | PDLC00120,GajB_00018, 1, 1.5e-06, 0.129, 0.168 | PDLC00120,GajB_00018, 2, 0.041, 0.081, 0.105 | PDLC00120,GajB_00018, 3, 0.72, 0.091, 0.12 | PDLC04172,GajB_WP_158867534.1, 1, 290, 0.136, 0.149 | PDLC04172,GajB_WP_158867534.1, 2, 0.014, 0.083, 0.095 | PDLC00108,GajB_00006, 1, 3.6e-282, 0.734, 0.998 | PDLC00144,GajB_00042, 1, 0.029, 0.131, 0.147 | PDLC00144,GajB_00042, 2, 9.5e-07, 0.164, 0.177 | PDLC00144,GajB_00042, 3, 1e-04, 0.093, 0.089 | PDLC00139,GajB_00037, 1, 6.7e-12, 0.38, 0.368 | PDLC00139,GajB_00037, 2, 39, 0.127, 0.121 | PDLC00142,GajB_00040, 1, 0.00031, 0.117, 0.123 | PDLC00142,GajB_00040, 2, 2.6e-14, 0.144, 0.148 | PDLC00142,GajB_00040, 3, 0.69, 0.131, 0.141 | PDLC00115,GajB_00013, 1, 0.0032, 0.124, 0.143 | PDLC00115,GajB_00013, 2, 0.52, 0.093, 0.119 | PDLC00113,GajB_00011, 1, 3.9e-06, 0.117, 0.121 | PDLC00113,GajB_00011, 2, 1.7e-07, 0.177, 0.174 | PDLC00113,GajB_00011, 3, 0.64, 0.089, 0.116 | PDLC00109,GajB_00007, 1, 5e-12, 0.43, 0.368 | PDLC00109,GajB_00007, 2, 2.4, 0.03, 0.028 | PDLC00112,GajB_00010, 1, 5.6e-27, 0.451, 0.48 | PDLC00112,GajB_00010, 2, 0.0013, 0.083, 0.093 | PDLC00106,GajB_00004, 1, 6.5e-23, 0.438, 0.461 | PDLC00106,GajB_00004, 2, 40, 0.088, 0.087 | PDLC00147,GajB_00045, 1, 4.7e-24, 0.388, 0.377 | PDLC00147,GajB_00045, 2, 210, 0.112, 0.105 | PDLC00125,GajB_00023, 1, 0.0024, 0.111, 0.087 | PDLC00125,GajB_00023, 2, 0.005, 0.111, 0.102 | PDLC00125,GajB_00023, 3, 120, 0.038, 0.036 | PDLC00117,GajB_00015, 1, 1.9e-233, 0.985, 0.993 | PDLC00128,GajB_00026, 1, 0.00059, 0.081, 0.077 | PDLC00128,GajB_00026, 2, 9.5e-05, 0.175, 0.156 | PDLC00128,GajB_00026, 3, 0.0045, 0.098, 0.109 | PDLC00143,GajB_00041, 1, 4.9e-07, 0.112, 0.106 | PDLC00143,GajB_00041, 2, 7e-06, 0.179, 0.165 | PDLC00143,GajB_00041, 3, 2.9, 0.033, 0.032 | PDLC00123,GajB_00021, 1, 2.1e-15, 0.149, 0.163 | PDLC00123,GajB_00021, 2, 2.6e-20, 0.304, 0.331 | PDLC00123,GajB_00021, 3, 2.2e-08, 0.101, 0.126 | PDLC00135,GajB_00033, 1, 1.3e-08, 0.112, 0.1 | PDLC00135,GajB_00033, 2, 3.8e-07, 0.18, 0.179 | PDLC00135,GajB_00033, 3, 120, 0.098, 0.104 | PDLC00135,GajB_00033, 4, 0.0038, 0.093, 0.106 | PDLC00140,GajB_00038, 1, 1.9e-06, 0.129, 0.2 | PDLC00140,GajB_00038, 2, 5, 0.068, 0.11 | PDLC00140,GajB_00038, 3, 3.5, 0.109, 0.17 | PDLC00126,GajB_00024, 1, 1.2e-10, 0.122, 0.124 | PDLC00126,GajB_00024, 2, 0.0048, 0.137, 0.137 | PDLC00138,GajB_00036, 1, 1e-09, 0.14, 0.153 | PDLC00138,GajB_00036, 2, 1.1e-11, 0.185, 0.193 | PDLC00138,GajB_00036, 3, 69, 0.079, 0.091 | PDLC00110,GajB_00008, 1, 0.00078, 0.122, 0.101 | PDLC00110,GajB_00008, 2, 1.5e-09, 0.185, 0.164 | PDLC00110,GajB_00008, 3, 0.042, 0.073, 0.061 | PDLC00119,GajB_00017, 1, 5.1e-11, 0.132, 0.138 | PDLC00119,GajB_00017, 2, 1.1e-18, 0.188, 0.198 | PDLC00119,GajB_00017, 3, 0.00016, 0.089, 0.096 | PDLC00116,GajB_00014, 1, 0.0085, 0.089, 0.099 | PDLC00116,GajB_00014, 2, 3.5e-06, 0.169, 0.183 | PDLC00116,GajB_00014, 3, 2.6e-05, 0.102, 0.106 | PDLC00127,GajB_00025, 1, 1.6e-43, 0.455, 0.46 | PDLC00127,GajB_00025, 2, 9e-10, 0.093, 0.098 | PDLC00104,GajB_00002, 1, 4.9e-24, 0.45, 0.409 | PDLC00104,GajB_00002, 2, 5.5e-08, 0.096, 0.103","PDLC00108, GajB_00006, 3.6e-282, 0.734, 0.998 | PDLC00117, GajB_00015, 1.9e-233, 0.985, 0.993 | PDLC00130, GajB_00028, 2.3e-57, 0.927, 0.968 | PDLC00127, GajB_00025, 1.6e-43, 0.455, 0.46 | PDLC00114, GajB_00012, 7.7e-36, 0.448, 0.439"
8,RRXD01000023.1,PD-T4-6,RRXD01000023.1_3,PDLC04047,PD-T4-6_WP_139553373.1,PD-T4-6,1.9000000000000002e-29,3e-29,0.786,0.893,1424,2488,+,-,3,774,"PDLC04056,PD-T4-6_WP_158110440.1, 1, 2.4e-12, 0.482, 0.439 | PDLC04053,PD-T4-6_WP_157124873.1, 1, 9e-29, 0.741, 0.887 | PDLC04061,PD-T4-6_WP_205119068.1, 1, 1.6e-25, 0.758, 0.563 | PDLC04059,PD-T4-6_WP_187294376.1, 1, 4.4e-11, 0.504, 0.453 | PDLC04041,PD-T4-6_WP_012633303.1, 1, 1.2e-18, 0.696, 0.594 | PDLC04046,PD-T4-6_WP_113935400.1, 1, 3.1e-09, 0.696, 0.628 | PDLC04042,PD-T4-6_WP_036366335.1, 1, 2.6e-27, 0.724, 0.928 | PDLC04060,PD-T4-6_WP_203635815.1, 1, 5.7e-27, 0.693, 0.531 | PDLC04058,PD-T4-6_WP_170252675.1, 1, 5.3e-08, 0.476, 0.393 | PDLC04049,PD-T4-6_WP_145059686.1, 1, 3.7e-08, 0.518, 0.457 | PDLC04044,PD-T4-6_WP_083882641.1, 1, 2.9e-17, 0.786, 0.782 | PDLC04043,PD-T4-6_WP_067834564.1, 1, 8.2e-25, 0.792, 0.644 | PDLC04057,PD-T4-6_WP_160801532.1, 1, 6.3e-29, 0.78, 0.655 | PDLC04063,PD-T4-6_WP_222213733.1, 1, 1.4e-09, 0.513, 0.349 | PDLC04039,PD-T4-6_WP_009677753.1, 1, 5.7e-22, 0.704, 0.572 | PDLC04050,PD-T4-6_WP_146515207.1, 1, 2.6e-11, 0.792, 0.613 | PDLC04054,PD-T4-6_WP_157521248.1, 1, 4.5e-25, 0.704, 0.761 | PDLC04062,PD-T4-6_WP_214431164.1, 1, 5e-14, 0.538, 0.451 | PDLC04045,PD-T4-6_WP_086836475.1, 1, 2.5e-07, 0.546, 0.609 | PDLC04052,PD-T4-6_WP_153359500.1, 1, 2.2e-15, 0.544, 0.415 | PDLC04051,PD-T4-6_WP_148765916.1, 1, 2.3e-13, 0.668, 0.523 | PDLC04048,PD-T4-6_WP_144078097.1, 1, 4.1e-22, 0.544, 0.568 | PDLC04047,PD-T4-6_WP_139553373.1, 1, 3e-29, 0.786, 0.893 | PDLC04055,PD-T4-6_WP_157606249.1, 1, 1.8e-15, 0.662, 0.504 | PDLC04040,PD-T4-6_WP_011718859.1, 1, 2.4e-18, 0.741, 0.523 | PDLC04064,PD-T4-6_WP_224370629.1, 1, 4.7e-20, 0.51, 0.507","PDLC04047, PD-T4-6_WP_139553373.1, 3e-29, 0.786, 0.893 | PDLC04057, PD-T4-6_WP_160801532.1, 6.3e-29, 0.78, 0.655 | PDLC04053, PD-T4-6_WP_157124873.1, 9e-29, 0.741, 0.887 | PDLC04042, PD-T4-6_WP_036366335.1, 2.6e-27, 0.724, 0.928 | PDLC04060, PD-T4-6_WP_203635815.1, 5.7e-27, 0.693, 0.531"
