sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JBEFVY010000003.1_RM_Type_IV_15	RM	RM_Type_IV	Defense	JBEFVY010000003.1_20	JBEFVY010000003.1_21	JBEFVY010000003.1_20,JBEFVY010000003.1_21	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
JBEFVY010000003.1_RM_Type_I_14	RM	RM_Type_I	Defense	JBEFVY010000003.1_192	JBEFVY010000003.1_196	JBEFVY010000003.1_192,JBEFVY010000003.1_195,JBEFVY010000003.1_196	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JBEFVY010000004.1_RM_Type_II_18	RM	RM_Type_II	Defense	JBEFVY010000004.1_35	JBEFVY010000004.1_36	JBEFVY010000004.1_35,JBEFVY010000004.1_36	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase06
JBEFVY010000004.1_RM_Type_I_17	RM	RM_Type_I	Defense	JBEFVY010000004.1_107	JBEFVY010000004.1_110	JBEFVY010000004.1_107,JBEFVY010000004.1_109,JBEFVY010000004.1_110	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_52
JBEFVY010000005.1_RloC_3	RloC	RloC	Defense	JBEFVY010000005.1_244	JBEFVY010000005.1_244	JBEFVY010000005.1_244	1	RloC__RloC
JBEFVY010000007.1_AbiU_8	AbiU	AbiU	Defense	JBEFVY010000007.1_113	JBEFVY010000007.1_113	JBEFVY010000007.1_113	1	AbiU__AbiU
JBEFVY010000008.1_CapRel_7	CapRel	CapRel	Defense	JBEFVY010000008.1_79	JBEFVY010000008.1_79	JBEFVY010000008.1_79	1	CapRel__CapRel
JBEFVY010000016.1_SoFic_1	SoFIC	SoFic	Defense	JBEFVY010000016.1_88	JBEFVY010000016.1_88	JBEFVY010000016.1_88	1	SoFic__SoFic
JBEFVY010000016.1_RM_Type_III_19	RM	RM_Type_III	Defense	JBEFVY010000016.1_89	JBEFVY010000016.1_90	JBEFVY010000016.1_89,JBEFVY010000016.1_90	2	RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed
JBEFVY010000019.1_PD-T7-5_12	PD-T7-5	PD-T7-5	Defense	JBEFVY010000019.1_65	JBEFVY010000019.1_65	JBEFVY010000019.1_65	1	PD-T7-5__PD-T7-5
JBEFVY010000025.1_Wadjet_I_6	Wadjet	Wadjet_I	Defense	JBEFVY010000025.1_9	JBEFVY010000025.1_12	JBEFVY010000025.1_9,JBEFVY010000025.1_11,JBEFVY010000025.1_12	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JBEFVY010000025.1_DS-32_4	DS-32	DS-32	Defense	JBEFVY010000025.1_40	JBEFVY010000025.1_41	JBEFVY010000025.1_40,JBEFVY010000025.1_41	2	DS-32__DS-32A,DS-32__DS-32B
JBEFVY010000031.1_SoFic_2	SoFIC	SoFic	Defense	JBEFVY010000031.1_16	JBEFVY010000031.1_16	JBEFVY010000031.1_16	1	SoFic__SoFic
JBEFVY010000032.1_Zorya_TypeIII_11	Zorya	Zorya_TypeIII	Defense	JBEFVY010000032.1_16	JBEFVY010000032.1_19	JBEFVY010000032.1_16,JBEFVY010000032.1_17,JBEFVY010000032.1_19	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JBEFVY010000035.1_Gabija_9	Gabija	Gabija	Defense	JBEFVY010000035.1_3	JBEFVY010000035.1_4	JBEFVY010000035.1_3,JBEFVY010000035.1_4	2	Gabija__GajA,Gabija__GajB_1
JBEFVY010000035.1_Mokosh_TypeII_10	Mokosh	Mokosh_TypeII	Defense	JBEFVY010000035.1_5	JBEFVY010000035.1_5	JBEFVY010000035.1_5	1	Mokosh_TypeII__MkoC
