sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JAYIMG010000001.1_RM_Type_I_14	RM	RM_Type_I	Defense	JAYIMG010000001.1_26	JAYIMG010000001.1_29	JAYIMG010000001.1_26,JAYIMG010000001.1_27,JAYIMG010000001.1_29	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JAYIMG010000008.1_pAgo_S1B_8	pAgo	pAgo_S1B	Defense	JAYIMG010000008.1_46	JAYIMG010000008.1_47	JAYIMG010000008.1_46,JAYIMG010000008.1_47	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
JAYIMG010000011.1_RM_Type_I_16	RM	RM_Type_I	Defense	JAYIMG010000011.1_68	JAYIMG010000011.1_71	JAYIMG010000011.1_68,JAYIMG010000011.1_70,JAYIMG010000011.1_71	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_52
JAYIMG010000019.1_Wadjet_I_10	Wadjet	Wadjet_I	Defense	JAYIMG010000019.1_74	JAYIMG010000019.1_77	JAYIMG010000019.1_74,JAYIMG010000019.1_75,JAYIMG010000019.1_77	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JAYIMG010000024.1_SoFic_11	SoFIC	SoFic	Defense	JAYIMG010000024.1_33	JAYIMG010000024.1_33	JAYIMG010000024.1_33	1	SoFic__SoFic
JAYIMG010000027.1_AbiV_12	AbiV	AbiV	Defense	JAYIMG010000027.1_62	JAYIMG010000027.1_62	JAYIMG010000027.1_62	1	AbiV__AbiV
JAYIMG010000031.1_Retron_XII_3	Retron	Retron_XII	Defense	JAYIMG010000031.1_2	JAYIMG010000031.1_2	JAYIMG010000031.1_2	1	Retron_XII__RT_12
JAYIMG010000034.1_Shedu_2	Shedu	Shedu	Defense	JAYIMG010000034.1_31	JAYIMG010000034.1_31	JAYIMG010000034.1_31	1	Shedu__SduA
JAYIMG010000036.1_Gabija_6	Gabija	Gabija	Defense	JAYIMG010000036.1_12	JAYIMG010000036.1_13	JAYIMG010000036.1_12,JAYIMG010000036.1_13	2	Gabija__GajA,Gabija__GajB_2
JAYIMG010000046.1_Gao_Ppl_5	Gao_Ppl	Gao_Ppl	Defense	JAYIMG010000046.1_7	JAYIMG010000046.1_7	JAYIMG010000046.1_7	1	Gao_Ppl__PplA
JAYIMG010000047.1_Zorya_TypeIII_1	Zorya	Zorya_TypeIII	Defense	JAYIMG010000047.1_15	JAYIMG010000047.1_18	JAYIMG010000047.1_15,JAYIMG010000047.1_16,JAYIMG010000047.1_18	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JAYIMG010000049.1_DS-33_7	DS-33	DS-33	Defense	JAYIMG010000049.1_26	JAYIMG010000049.1_26	JAYIMG010000049.1_26	1	DS-33__DS-33
JAYIMG010000055.1_RM_Type_IIG_17	RM	RM_Type_IIG	Defense	JAYIMG010000055.1_1	JAYIMG010000055.1_1	JAYIMG010000055.1_1	1	RM_Type_IIG__Type_IIG_FAM_1.einsi_trimmed
JAYIMG010000057.1_Thoeris_IV_4	Thoeris	Thoeris_IV	Defense	JAYIMG010000057.1_1	JAYIMG010000057.1_2	JAYIMG010000057.1_1,JAYIMG010000057.1_2	2	Thoeris_IV__ThsA_Casp4,Thoeris__ThsB_Global
