sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JAYISY010000001.1_RM_Type_I_15	RM	RM_Type_I	Defense	JAYISY010000001.1_26	JAYISY010000001.1_29	JAYISY010000001.1_26,JAYISY010000001.1_27,JAYISY010000001.1_29	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JAYISY010000015.1_AbiV_11	AbiV	AbiV	Defense	JAYISY010000015.1_62	JAYISY010000015.1_62	JAYISY010000015.1_62	1	AbiV__AbiV
JAYISY010000020.1_DS-1_12	DS-1	DS-1	Defense	JAYISY010000020.1_19	JAYISY010000020.1_20	JAYISY010000020.1_19,JAYISY010000020.1_20	2	DS-1__DS-1A,DS-1__DS-1B
JAYISY010000022.1_SoFic_10	SoFIC	SoFic	Defense	JAYISY010000022.1_33	JAYISY010000022.1_33	JAYISY010000022.1_33	1	SoFic__SoFic
JAYISY010000028.1_Retron_XII_1	Retron	Retron_XII	Defense	JAYISY010000028.1_2	JAYISY010000028.1_2	JAYISY010000028.1_2	1	Retron_XII__RT_12
JAYISY010000032.1_Gabija_2	Gabija	Gabija	Defense	JAYISY010000032.1_11	JAYISY010000032.1_12	JAYISY010000032.1_11,JAYISY010000032.1_12	2	Gabija__GajA,Gabija__GajB_2
JAYISY010000033.1_RloC_13	RloC	RloC	Defense	JAYISY010000033.1_42	JAYISY010000033.1_42	JAYISY010000033.1_42	1	RloC__RloC
JAYISY010000004.1_pAgo_S1B_4	pAgo	pAgo_S1B	Defense	JAYISY010000004.1_5	JAYISY010000004.1_6	JAYISY010000004.1_5,JAYISY010000004.1_6	2	pAgo__SIR2APAZ,pAgo__pAgo_S1B
JAYISY010000041.1_Zorya_TypeIII_3	Zorya	Zorya_TypeIII	Defense	JAYISY010000041.1_8	JAYISY010000041.1_11	JAYISY010000041.1_8,JAYISY010000041.1_10,JAYISY010000041.1_11	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JAYISY010000048.1_RM_Type_IIG_18	RM	RM_Type_IIG	Defense	JAYISY010000048.1_1	JAYISY010000048.1_1	JAYISY010000048.1_1	1	RM_Type_IIG__Type_IIG_FAM_1.einsi_trimmed
JAYISY010000005.1_SoFic_6	SoFIC	SoFic	Defense	JAYISY010000005.1_2	JAYISY010000005.1_2	JAYISY010000005.1_2	1	SoFic__SoFic
JAYISY010000005.1_Wadjet_I_8	Wadjet	Wadjet_I	Defense	JAYISY010000005.1_141	JAYISY010000005.1_144	JAYISY010000005.1_141,JAYISY010000005.1_142,JAYISY010000005.1_144	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JAYISY010000050.1_Thoeris_IV_9	Thoeris	Thoeris_IV	Defense	JAYISY010000050.1_7	JAYISY010000050.1_8	JAYISY010000050.1_7,JAYISY010000050.1_8	2	Thoeris_IV__ThsA_Casp4,Thoeris__ThsB_Global
JAYISY010000008.1_RM_Type_I_17	RM	RM_Type_I	Defense	JAYISY010000008.1_168	JAYISY010000008.1_170	JAYISY010000008.1_168,JAYISY010000008.1_170	2	RM__Type_I_MTases_FAM_3,RM__Type_I_S_51
JAYISY010000009.1_Gao_Ppl_5	Gao_Ppl	Gao_Ppl	Defense	JAYISY010000009.1_6	JAYISY010000009.1_6	JAYISY010000009.1_6	1	Gao_Ppl__PplA
