sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
CP168195.1_AbiD_1	AbiD	AbiD	Defense	CP168195.1_27	CP168195.1_27	CP168195.1_27	1	AbiD__AbiD
CP168195.1_BREX_III_4	BREX	BREX_III	Defense	CP168195.1_602	CP168195.1_608	CP168195.1_602,CP168195.1_606,CP168195.1_607,CP168195.1_608	4	BREX__brxF,BREX__brxHII,BREX__pglXI,BREX__pglZ3
CP168195.1_RM_Type_II_14	RM	RM_Type_II	Defense	CP168195.1_605	CP168195.1_606	CP168195.1_605,CP168195.1_606	2	RM_Type_II__Type_II_MTases_FAM_27,RM_Type_II__Type_II_REase06
CP168195.1_Zorya_TypeIII_11	Zorya	Zorya_TypeIII	Defense	CP168195.1_631	CP168195.1_634	CP168195.1_631,CP168195.1_632,CP168195.1_633,CP168195.1_634	4	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorA,Zorya__ZorB
CP168195.1_RM_Type_II_15	RM	RM_Type_II	Defense	CP168195.1_2393	CP168195.1_2394	CP168195.1_2393,CP168195.1_2394	2	RM_Type_II__Type_II_MTases_FAM_8,RM_Type_II__Type_II_REase18
CP168195.1_RloC_7	RloC	RloC	Defense	CP168195.1_2398	CP168195.1_2398	CP168195.1_2398	1	RloC__RloC
CP168195.1_RM_Type_II_16	RM	RM_Type_II	Defense	CP168195.1_2403	CP168195.1_2404	CP168195.1_2403,CP168195.1_2404	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase15
CP168195.1_PD-Lambda-5_13	PD-Lambda-5	PD-Lambda-5	Defense	CP168195.1_2769	CP168195.1_2770	CP168195.1_2769,CP168195.1_2770	2	PD-Lambda-5__PD-Lambda-5_A,PD-Lambda-5__PD-Lambda-5_B
CP168195.1_Mokosh_TypeII_5	Mokosh	Mokosh_TypeII	Defense	CP168195.1_3210	CP168195.1_3210	CP168195.1_3210	1	Mokosh_TypeII__MkoC
CP168195.1_RM_Type_III_18	RM	RM_Type_III	Defense	CP168195.1_3323	CP168195.1_3324	CP168195.1_3323,CP168195.1_3324	2	RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed
CP168195.1_AbiD_2	AbiD	AbiD	Defense	CP168195.1_3386	CP168195.1_3386	CP168195.1_3386	1	AbiD__AbiD
CP168195.1_RM_Type_II_17	RM	RM_Type_II	Defense	CP168195.1_3387	CP168195.1_3388	CP168195.1_3387,CP168195.1_3388	2	RM_Type_II__Type_II_MTases_FAM_32,RM_Type_II__Type_II_REase22
CP168195.1_PD-T7-5_6	PD-T7-5	PD-T7-5	Defense	CP168195.1_3391	CP168195.1_3391	CP168195.1_3391	1	PD-T7-5__PD-T7-5
CP168195.1_SoFic_8	SoFIC	SoFic	Defense	CP168195.1_4275	CP168195.1_4275	CP168195.1_4275	1	SoFic__SoFic
CP168195.1_Wadjet_I_10	Wadjet	Wadjet_I	Defense	CP168195.1_4453	CP168195.1_4455	CP168195.1_4453,CP168195.1_4454,CP168195.1_4455	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
CP168197.1_MazEF_12	MazEF	MazEF	Defense	CP168197.1_25	CP168197.1_26	CP168197.1_25,CP168197.1_26	2	MazEF__MazE,MazEF__MazF
