sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
CP168173.1_RM_Type_II_16	RM	RM_Type_II	Defense	CP168173.1_36	CP168173.1_37	CP168173.1_36,CP168173.1_37	2	RM_Type_II__Type_II_MTases_FAM_41,RM_Type_II__Type_II_REase25
CP168173.1_Wadjet_I_9	Wadjet	Wadjet_I	Defense	CP168173.1_196	CP168173.1_198	CP168173.1_196,CP168173.1_197,CP168173.1_198	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
CP168173.1_Zorya_TypeIII_10	Zorya	Zorya_TypeIII	Defense	CP168173.1_849	CP168173.1_852	CP168173.1_849,CP168173.1_850,CP168173.1_851,CP168173.1_852	4	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorA,Zorya__ZorB
CP168173.1_RloC_6	RloC	RloC	Defense	CP168173.1_970	CP168173.1_970	CP168173.1_970	1	RloC__RloC
CP168173.1_RM_Type_I_14	RM	RM_Type_I	Defense	CP168173.1_1269	CP168173.1_1274	CP168173.1_1269,CP168173.1_1271,CP168173.1_1274	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
CP168173.1_RM_Type_I_15	RM	RM_Type_I	Defense	CP168173.1_1527	CP168173.1_1531	CP168173.1_1527,CP168173.1_1528,CP168173.1_1531	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
CP168173.1_Gabija_2	Gabija	Gabija	Defense	CP168173.1_2091	CP168173.1_2092	CP168173.1_2091,CP168173.1_2092	2	Gabija__GajA,Gabija__GajB_2
CP168173.1_Prometheus_5	Prometheus	Prometheus	Defense	CP168173.1_2885	CP168173.1_2885	CP168173.1_2885	1	Prometheus__ProA
CP168173.1_MADS_3	MADS	MADS	Defense	CP168173.1_4028	CP168173.1_4035	CP168173.1_4028,CP168173.1_4029,CP168173.1_4030,CP168173.1_4031,CP168173.1_4034,CP168173.1_4035	6	MADS__mad1,MADS__mad2,MADS__mad5,MADS__mad6,MADS__mad7,MADS__mad8
CP168173.1_MADS3-4_4	MADS3-4	MADS3-4	Defense	CP168173.1_4032	CP168173.1_4033	CP168173.1_4032,CP168173.1_4033	2	MADS__mad3,MADS__mad4
CP168173.1_AbiE_1	AbiE	AbiE	Defense	CP168173.1_4043	CP168173.1_4044	CP168173.1_4043,CP168173.1_4044	2	AbiEii__AbiEi_3,AbiEii__AbiEii
CP168173.1_SoFic_7	SoFIC	SoFic	Defense	CP168173.1_4538	CP168173.1_4538	CP168173.1_4538	1	SoFic__SoFic
CP168175.1_HEC-09_11	HEC-09	HEC-09	Defense	CP168175.1_55	CP168175.1_55	CP168175.1_55	1	HEC-09__HEC-09
