hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JBEGFT010000001.1_27	JBEGFT010000001.1	27	269	CBASS__AG_E1_ThiF	9.3e-18	62.6	0.717	0.725	13	207
JBEGFT010000003.1_73	JBEGFT010000003.1	369	368	Veles__VlsB1	2.9e-104	347.1	0.949	0.946	19	366
JBEGFT010000003.1_73	JBEGFT010000003.1	369	368	Veles__VlsB2	1.7e-104	347.9	0.918	0.951	17	366
JBEGFT010000003.1_97	JBEGFT010000003.1	393	121	Dpd__QueD	1.1e-57	191.6	0.967	0.959	5	120
JBEGFT010000005.1_95	JBEGFT010000005.1	603	502	RM_Type_II__Type_II_MTases_FAM_0	5.9e-11	40.3	0.552	0.402	166	367
JBEGFT010000005.1_95	JBEGFT010000005.1	603	502	Druantia_II__DruM	1.8e-15	55.1	0.845	0.639	165	485
JBEGFT010000005.1_95	JBEGFT010000005.1	603	502	RM_Type_II__Type_II_MTases_FAM_2	2.5e-24	84.2	0.959	0.629	166	481
JBEGFT010000005.1_108	JBEGFT010000005.1	616	408	RM_Type_II__Type_II_MTases_FAM_3	1.4e-12	45.8	0.675	0.593	155	396
JBEGFT010000005.1_108	JBEGFT010000005.1	616	408	RM_Type_II__Type_II_MTases_FAM_8	6.8e-14	49.8	0.874	0.654	130	396
JBEGFT010000005.1_108	JBEGFT010000005.1	616	408	RM_Type_II__Type_II_MTases_FAM_1	6.8e-25	86.1	0.791	0.642	131	392
JBEGFT010000005.1_108	JBEGFT010000005.1	616	408	RM_Type_II__Type_II_MTases_FAM_20	2.6e-45	152.8	0.837	0.662	129	398
JBEGFT010000008.1_5	JBEGFT010000008.1	779	417	TniQ_I-F_1	3.2e-10	39.1	0.957	0.307	19	146
JBEGFT010000008.1_6	JBEGFT010000008.1	780	247	Gao_Qat__QatD	5.6e-82	272.9	0.953	0.972	2	241
JBEGFT010000008.1_7	JBEGFT010000008.1	781	422	Gao_Qat__QatC	9.600000000000001e-55	184.3	0.772	0.787	44	375
JBEGFT010000008.1_8	JBEGFT010000008.1	782	280	Gao_Qat__QatB	1.6e-10	39.0	0.891	0.779	56	273
JBEGFT010000008.1_9	JBEGFT010000008.1	783	461	Gao_Qat__QatA	2.5e-59	199.6	0.422	0.588	14	284
JBEGFT010000013.1_48	JBEGFT010000013.1	1176	379	PsyrTA__PsyrA	2.8999999999999997e-29	100.3	0.784	0.826	57	369
JBEGFT010000013.1_48	JBEGFT010000013.1	1176	379	ShosTA__ShosA	1.7000000000000001e-56	189.6	0.686	0.544	79	284
JBEGFT010000014.1_17	JBEGFT010000014.1	1210	180	DarTG__DarG	1.3e-66	222.8	0.744	0.978	1	176
JBEGFT010000016.1_14	JBEGFT010000016.1	1324	355	RM_Type_II__Type_II_MTases_FAM_38	5.9e-07	27.2	0.45	0.403	43	185
JBEGFT010000018.1_33	JBEGFT010000018.1	1481	298	Ukko__UkkD2	4.6e-61	204.6	0.947	0.883	20	282
JBEGFT010000018.1_33	JBEGFT010000018.1	1481	298	Ukko__UkkD1	4.6e-61	204.6	0.947	0.883	20	282
JBEGFT010000022.1_20	JBEGFT010000022.1	1697	761	Dodola__DolB	2.1000000000000002e-20	71.2	0.488	0.252	430	621
JBEGFT010000022.1_41	JBEGFT010000022.1	1718	366	CBASS__AG_E1_ThiF	1.4000000000000002e-69	232.3	0.992	0.65	104	341
JBEGFT010000027.1_31	JBEGFT010000027.1	1949	279	CBASS__AG_E1_ThiF	7.9e-34	115.2	0.582	0.513	20	162
JBEGFT010000027.1_32	JBEGFT010000027.1	1950	261	Gao_Qat__QatD	3.2e-16	57.5	0.953	0.954	2	250
JBEGFT010000027.1_42	JBEGFT010000027.1	1960	242	Zorya__ZorB	1.7e-11	42.1	0.562	0.558	93	227
JBEGFT010000028.1_34	JBEGFT010000028.1	1994	245	DEDDh_I_II_III_IV_V_VI_1	1.7e-35	120.6	0.994	0.665	4	166
JBEGFT010000028.1_41	JBEGFT010000028.1	2001	824	Dodola__DolB	4.8e-10	37.1	0.411	0.203	310	476
