sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JBEGGL010000001.1_Wadjet_I_5	Wadjet	Wadjet_I	Defense	JBEGGL010000001.1_11	JBEGGL010000001.1_13	JBEGGL010000001.1_11,JBEGGL010000001.1_12,JBEGGL010000001.1_13	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JBEGGL010000001.1_SoFic_3	SoFIC	SoFic	Defense	JBEGGL010000001.1_307	JBEGGL010000001.1_307	JBEGGL010000001.1_307	1	SoFic__SoFic
JBEGGL010000001.1_Menshen_2	Menshen	Menshen	Defense	JBEGGL010000001.1_648	JBEGGL010000001.1_650	JBEGGL010000001.1_648,JBEGGL010000001.1_649,JBEGGL010000001.1_650	3	Menshen__NsnA,Menshen__NsnB,Menshen__NsnC_2723509649
JBEGGL010000002.1_RM_Type_I_15	RM	RM_Type_I	Defense	JBEGGL010000002.1_20	JBEGGL010000002.1_24	JBEGGL010000002.1_20,JBEGGL010000002.1_23,JBEGGL010000002.1_24	3	RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52
JBEGGL010000002.1_CapRel_8	CapRel	CapRel	Defense	JBEGGL010000002.1_411	JBEGGL010000002.1_411	JBEGGL010000002.1_411	1	CapRel__CapRel
JBEGGL010000002.1_Shango_10	Shango	Shango	Defense	JBEGGL010000002.1_451	JBEGGL010000002.1_453	JBEGGL010000002.1_451,JBEGGL010000002.1_452,JBEGGL010000002.1_453	3	Shango__SngA,Shango__SngB,Shango__SngC
JBEGGL010000002.1_RM_Type_II_16	RM	RM_Type_II	Defense	JBEGGL010000002.1_458	JBEGGL010000002.1_459	JBEGGL010000002.1_458,JBEGGL010000002.1_459	2	RM_Type_II__Type_II_MTases_FAM_31,RM_Type_II__Type_II_REase29
JBEGGL010000002.1_Gao_TerY_9	Gao_TerY	Gao_TerY	Defense	JBEGGL010000002.1_475	JBEGGL010000002.1_477	JBEGGL010000002.1_475,JBEGGL010000002.1_476,JBEGGL010000002.1_477	3	Gao_TerY__TerYA,Gao_TerY__TerYB,Gao_TerY__TerYC
JBEGGL010000002.1_CBASS_I_7	CBASS	CBASS_I	Defense	JBEGGL010000002.1_479	JBEGGL010000002.1_480	JBEGGL010000002.1_479,JBEGGL010000002.1_480	2	CBASS__Cyclase_new,CBASS__Effector_2TM_S_2TMBeta
JBEGGL010000004.1_Zorya_TypeIII_1	Zorya	Zorya_TypeIII	Defense	JBEGGL010000004.1_125	JBEGGL010000004.1_128	JBEGGL010000004.1_125,JBEGGL010000004.1_126,JBEGGL010000004.1_127,JBEGGL010000004.1_128	4	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorA,Zorya__ZorB
JBEGGL010000005.1_Prometheus_11	Prometheus	Prometheus	Defense	JBEGGL010000005.1_186	JBEGGL010000005.1_186	JBEGGL010000005.1_186	1	Prometheus__ProA
JBEGGL010000006.1_Wadjet_I_13	Wadjet	Wadjet_I	Defense	JBEGGL010000006.1_140	JBEGGL010000006.1_143	JBEGGL010000006.1_140,JBEGGL010000006.1_141,JBEGGL010000006.1_142,JBEGGL010000006.1_143	4	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I
