seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
JBEFVM010000090.1	2861	No terminal repeats	NA	5	11	0.9998	NA	4	7.7122	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JBEFVM010000036.1|provirus_35778_53542	17765	Provirus	35778-53542	19	11	0.9992	NA	8	19.9548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JBEFVM010000057.1|provirus_1_11007	11007	Provirus	1-11007	18	11	0.9992	NA	2	15.9263	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JBEFVM010000094.1	2486	No terminal repeats	NA	3	11	0.9990	NA	3	4.1533	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JBEFVM010000022.1|provirus_15738_24969	9232	Provirus	15738-24969	13	11	0.9989	NA	3	14.5292	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
JBEFVM010000097.1	2114	No terminal repeats	NA	2	11	0.9971	NA	1	1.4634	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JBEFVM010000125.1	670	No terminal repeats	NA	1	11	0.9928	NA	1	1.3647	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JBEFVM010000100.1	1999	No terminal repeats	NA	4	11	0.9859	NA	3	5.4286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JBEFVM010000121.1	741	No terminal repeats	NA	1	11	0.9851	NA	1	1.4263	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JBEFVM010000120.1	790	No terminal repeats	NA	3	11	0.9671	NA	2	2.7957	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JBEFVM010000076.1	5988	No terminal repeats	NA	7	11	0.9596	NA	0	1.7183	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
JBEFVM010000126.1	656	No terminal repeats	NA	1	11	0.9152	NA	1	1.2618	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
