name	len	score	pvalue
JAUINC010000001.1 Xanthomonas campestris pv. campestris strain 5592 NODE_1_length_258373_cov_84.339374, whole genome shotgun sequence	258373	0.2033088505268097	0.14583805423370344
JAUINC010000002.1 Xanthomonas campestris pv. campestris strain 5592 NODE_2_length_245877_cov_76.233251, whole genome shotgun sequence	245877	0.34443965554237366	0.10893949694085656
JAUINC010000003.1 Xanthomonas campestris pv. campestris strain 5592 NODE_3_length_176554_cov_84.300396, whole genome shotgun sequence	176554	0.1449049413204193	0.16700657149331521
JAUINC010000004.1 Xanthomonas campestris pv. campestris strain 5592 NODE_4_length_166768_cov_88.282469, whole genome shotgun sequence	166768	0.1964649260044098	0.1477830651861923
JAUINC010000005.1 Xanthomonas campestris pv. campestris strain 5592 NODE_5_length_148157_cov_83.081031, whole genome shotgun sequence	148157	0.2128131240606308	0.14266560918498375
JAUINC010000006.1 Xanthomonas campestris pv. campestris strain 5592 NODE_6_length_140957_cov_81.408468, whole genome shotgun sequence	140957	0.14829117059707642	0.16534481456303346
JAUINC010000007.1 Xanthomonas campestris pv. campestris strain 5592 NODE_7_length_128741_cov_75.829564, whole genome shotgun sequence	128741	0.1696128398180008	0.15741370194123422
JAUINC010000008.1 Xanthomonas campestris pv. campestris strain 5592 NODE_8_length_125020_cov_86.302434, whole genome shotgun sequence	125020	0.14227843284606934	0.1680451695747413
JAUINC010000009.1 Xanthomonas campestris pv. campestris strain 5592 NODE_9_length_124505_cov_84.640989, whole genome shotgun sequence	124505	0.08111892640590668	0.2027343454943727
JAUINC010000010.1 Xanthomonas campestris pv. campestris strain 5592 NODE_10_length_123695_cov_86.883399, whole genome shotgun sequence	123695	0.09348155558109283	0.19361356597930357
JAUINC010000011.1 Xanthomonas campestris pv. campestris strain 5592 NODE_11_length_118035_cov_87.005909, whole genome shotgun sequence	118035	0.0958200991153717	0.19221617946974848
JAUINC010000012.1 Xanthomonas campestris pv. campestris strain 5592 NODE_12_length_113459_cov_80.552345, whole genome shotgun sequence	113459	0.09715914726257324	0.19119646498980286
JAUINC010000013.1 Xanthomonas campestris pv. campestris strain 5592 NODE_13_length_109562_cov_79.821418, whole genome shotgun sequence	109562	0.15174630284309387	0.16390966085051742
JAUINC010000014.1 Xanthomonas campestris pv. campestris strain 5592 NODE_14_length_102744_cov_74.234613, whole genome shotgun sequence	102744	0.048362813889980316	0.23676259536218747
JAUINC010000015.1 Xanthomonas campestris pv. campestris strain 5592 NODE_15_length_97365_cov_83.997996, whole genome shotgun sequence	97365	0.12999242544174194	0.17382355162776644
JAUINC010000016.1 Xanthomonas campestris pv. campestris strain 5592 NODE_16_length_96341_cov_84.778848, whole genome shotgun sequence	96341	0.06706772744655609	0.2151786388700053
JAUINC010000017.1 Xanthomonas campestris pv. campestris strain 5592 NODE_17_length_95269_cov_87.270390, whole genome shotgun sequence	95269	0.04363575577735901	0.2435984590981192
JAUINC010000018.1 Xanthomonas campestris pv. campestris strain 5592 NODE_18_length_94697_cov_86.649440, whole genome shotgun sequence	94697	0.0727168396115303	0.21000453206435532
JAUINC010000019.1 Xanthomonas campestris pv. campestris strain 5592 NODE_19_length_93961_cov_85.412775, whole genome shotgun sequence	93961	0.13334530591964722	0.17233174711080898
JAUINC010000020.1 Xanthomonas campestris pv. campestris strain 5592 NODE_20_length_91765_cov_85.204280, whole genome shotgun sequence	91765	0.08508825302124023	0.19946748243825063
JAUINC010000021.1 Xanthomonas campestris pv. campestris strain 5592 NODE_21_length_91386_cov_79.306804, whole genome shotgun sequence	91386	0.05584904924035072	0.22743409623083313
JAUINC010000022.1 Xanthomonas campestris pv. campestris strain 5592 NODE_22_length_89942_cov_82.439749, whole genome shotgun sequence	89942	0.06555832922458649	0.21665155978548228
JAUINC010000023.1 Xanthomonas campestris pv. campestris strain 5592 NODE_23_length_88703_cov_87.850281, whole genome shotgun sequence	88703	0.085160031914711	0.19939194803232874
JAUINC010000024.1 Xanthomonas campestris pv. campestris strain 5592 NODE_24_length_80499_cov_83.779327, whole genome shotgun sequence	80499	0.0914662778377533	0.19495430168441724
JAUINC010000025.1 Xanthomonas campestris pv. campestris strain 5592 NODE_25_length_79455_cov_83.051047, whole genome shotgun sequence	79455	0.04224737361073494	0.2458833748772566
JAUINC010000026.1 Xanthomonas campestris pv. campestris strain 5592 NODE_26_length_78616_cov_73.108799, whole genome shotgun sequence	78616	0.2599775791168213	0.12969257496789788
JAUINC010000027.1 Xanthomonas campestris pv. campestris strain 5592 NODE_27_length_73277_cov_79.785082, whole genome shotgun sequence	73277	0.06412874162197113	0.21799229549059596
JAUINC010000028.1 Xanthomonas campestris pv. campestris strain 5592 NODE_28_length_72699_cov_82.979786, whole genome shotgun sequence	72699	0.03625296428799629	0.2560238688722713
JAUINC010000029.1 Xanthomonas campestris pv. campestris strain 5592 NODE_29_length_69245_cov_85.535522, whole genome shotgun sequence	69245	0.10508434474468231	0.1869665382581766
JAUINC010000030.1 Xanthomonas campestris pv. campestris strain 5592 NODE_30_length_66577_cov_81.447639, whole genome shotgun sequence	66577	0.11195018887519836	0.18273661152655035
JAUINC010000031.1 Xanthomonas campestris pv. campestris strain 5592 NODE_31_length_65405_cov_76.521951, whole genome shotgun sequence	65405	0.08930020779371262	0.19644610620137473
JAUINC010000032.1 Xanthomonas campestris pv. campestris strain 5592 NODE_32_length_64669_cov_77.556075, whole genome shotgun sequence	64669	0.042249370366334915	0.2458833748772566
JAUINC010000033.1 Xanthomonas campestris pv. campestris strain 5592 NODE_33_length_58483_cov_88.202993, whole genome shotgun sequence	58483	0.04590596258640289	0.2402182944331143
JAUINC010000034.1 Xanthomonas campestris pv. campestris strain 5592 NODE_34_length_58250_cov_84.218933, whole genome shotgun sequence	58250	0.08090046793222427	0.20290429790769696
JAUINC010000035.1 Xanthomonas campestris pv. campestris strain 5592 NODE_35_length_52359_cov_86.286944, whole genome shotgun sequence	52359	0.05032481998205185	0.23398670594455775
JAUINC010000036.1 Xanthomonas campestris pv. campestris strain 5592 NODE_36_length_51322_cov_84.911621, whole genome shotgun sequence	51322	0.06486056745052338	0.2173124858372989
JAUINC010000037.1 Xanthomonas campestris pv. campestris strain 5592 NODE_37_length_50330_cov_85.776073, whole genome shotgun sequence	50330	0.04659315198659897	0.23931188156205152
JAUINC010000038.1 Xanthomonas campestris pv. campestris strain 5592 NODE_38_length_50034_cov_85.086314, whole genome shotgun sequence	50034	0.03747568279504776	0.25381448749905583
JAUINC010000039.1 Xanthomonas campestris pv. campestris strain 5592 NODE_39_length_49311_cov_90.313767, whole genome shotgun sequence	49311	0.03431494161486626	0.2594984515446786
JAUINC010000040.1 Xanthomonas campestris pv. campestris strain 5592 NODE_40_length_47419_cov_84.651705, whole genome shotgun sequence	47419	0.03039165586233139	0.2670141249339074
JAUINC010000041.1 Xanthomonas campestris pv. campestris strain 5592 NODE_41_length_47361_cov_78.028001, whole genome shotgun sequence	47361	0.07012861967086792	0.2122894478434927
JAUINC010000042.1 Xanthomonas campestris pv. campestris strain 5592 NODE_42_length_46479_cov_77.415176, whole genome shotgun sequence	46479	0.046293120831251144	0.23970843719314147
JAUINC010000043.1 Xanthomonas campestris pv. campestris strain 5592 NODE_43_length_45398_cov_86.404625, whole genome shotgun sequence	45398	0.04604121297597885	0.2400672256212705
JAUINC010000044.1 Xanthomonas campestris pv. campestris strain 5592 NODE_44_length_41576_cov_74.531169, whole genome shotgun sequence	41576	0.059291280806064606	0.22382732834806254
JAUINC010000045.1 Xanthomonas campestris pv. campestris strain 5592 NODE_45_length_40662_cov_80.753431, whole genome shotgun sequence	40662	0.03619571402668953	0.25606163607523225
JAUINC010000046.1 Xanthomonas campestris pv. campestris strain 5592 NODE_46_length_39278_cov_77.818602, whole genome shotgun sequence	39278	0.05031779408454895	0.23398670594455775
JAUINC010000047.1 Xanthomonas campestris pv. campestris strain 5592 NODE_47_length_38047_cov_88.027680, whole genome shotgun sequence	38047	0.026744795963168144	0.2755306292016013
JAUINC010000048.1 Xanthomonas campestris pv. campestris strain 5592 NODE_48_length_36754_cov_89.019658, whole genome shotgun sequence	36754	0.02815217524766922	0.2720749301306745
JAUINC010000049.1 Xanthomonas campestris pv. campestris strain 5592 NODE_49_length_35988_cov_73.715408, whole genome shotgun sequence	35988	0.03813885524868965	0.25232268298209837
JAUINC010000050.1 Xanthomonas campestris pv. campestris strain 5592 NODE_50_length_35075_cov_79.752414, whole genome shotgun sequence	35075	0.04575963690876961	0.2404260140493995
JAUINC010000051.1 Xanthomonas campestris pv. campestris strain 5592 NODE_51_length_33842_cov_80.756730, whole genome shotgun sequence	33842	0.03647669404745102	0.2555706624367399
JAUINC010000052.1 Xanthomonas campestris pv. campestris strain 5592 NODE_52_length_31737_cov_88.112224, whole genome shotgun sequence	31737	0.021293863654136658	0.2903542563637737
JAUINC010000053.1 Xanthomonas campestris pv. campestris strain 5592 NODE_53_length_28548_cov_77.117628, whole genome shotgun sequence	28548	0.04371041804552078	0.24350404109071683
JAUINC010000054.1 Xanthomonas campestris pv. campestris strain 5592 NODE_54_length_28251_cov_81.015546, whole genome shotgun sequence	28251	0.02527680993080139	0.27919404788881336
JAUINC010000055.1 Xanthomonas campestris pv. campestris strain 5592 NODE_55_length_28179_cov_89.289339, whole genome shotgun sequence	28179	0.03702402487397194	0.25453206435531384
JAUINC010000056.1 Xanthomonas campestris pv. campestris strain 5592 NODE_56_length_27341_cov_88.125440, whole genome shotgun sequence	27341	0.0240399781614542	0.28249867814789636
JAUINC010000057.1 Xanthomonas campestris pv. campestris strain 5592 NODE_57_length_26307_cov_75.768357, whole genome shotgun sequence	26307	0.027363933622837067	0.27394440667724146
JAUINC010000058.1 Xanthomonas campestris pv. campestris strain 5592 NODE_58_length_25901_cov_88.324349, whole genome shotgun sequence	25901	0.025952797383069992	0.2774756401540902
JAUINC010000059.1 Xanthomonas campestris pv. campestris strain 5592 NODE_59_length_22731_cov_88.407698, whole genome shotgun sequence	22731	0.03060886450111866	0.2665798020998565
JAUINC010000060.1 Xanthomonas campestris pv. campestris strain 5592 NODE_60_length_20202_cov_73.472199, whole genome shotgun sequence	20202	0.04277936369180679	0.24510914721655713
JAUINC010000061.1 Xanthomonas campestris pv. campestris strain 5592 NODE_61_length_20162_cov_90.289370, whole genome shotgun sequence	20162	0.029606694355607033	0.2686758818641891
