JAYIMO010000004.1_13 # 15004 # 16812 # -1 # ID=4_13;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.664	GENOMAD.140543.CP	3.879E-08	59	0
JAYIMO010000004.1_45 # 45705 # 46586 # 1 # ID=4_45;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.704	GENOMAD.104285.CP	2.710E-12	70	0
JAYIMO010000004.1_109 # 123354 # 125726 # 1 # ID=4_109;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.663	GENOMAD.129013.CP	4.568E-21	102	0
JAYIMO010000004.1_141 # 162066 # 162626 # -1 # ID=4_141;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.695	GENOMAD.082990.PP	4.616E-21	93	0
JAYIMO010000004.1_205 # 251671 # 252093 # -1 # ID=4_205;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.539	GENOMAD.213831.PC	9.547E-38	139	0
JAYIMO010000001.1_427 # 473764 # 474207 # 1 # ID=1_427;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.642	GENOMAD.013259.CC	4.329E-66	221	0
JAYIMO010000001.1_459 # 511025 # 511999 # -1 # ID=1_459;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.691	GENOMAD.094404.CP	1.527E-10	65	0
JAYIMO010000001.1_491 # 546900 # 547751 # -1 # ID=1_491;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.673	GENOMAD.151006.CP	5.802E-15	78	0
JAYIMO010000023.1_2 # 1816 # 2583 # -1 # ID=23_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.638	GENOMAD.138184.CP	1.521E-21	97	0
JAYIMO010000024.1_11 # 13376 # 15700 # -1 # ID=24_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.660	GENOMAD.172135.CP	3.695E-06	53	0
JAYIMO010000025.1_7 # 6750 # 7484 # 1 # ID=25_7;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.614	GENOMAD.176945.PC	1.252E-17	85	0
JAYIMO010000027.1_15 # 21789 # 23330 # -1 # ID=27_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.566	GENOMAD.077004.PP	1.607E-276	849	0
