JAYINM010000001.1_tRNA1_Leu	818	904
JAYINM010000001.1_tRNA2_???	373429	373501
JAYINM010000003.1_tRNA1_Lys	116831	116906
JAYINM010000012.1_tRNA1_Arg	93799	93875
JAYINM010000020.1_tRNA1_Ser	3729	3818
JAYINM010000021.1_tRNA1_Trp	46251	46326
JAYINM010000021.1_tRNA2_Thr	47668	47743
JAYINM010000021.1_tRNA3_Gly	47777	47850
JAYINM010000021.1_tRNA4_Tyr	47880	47965
JAYINM010000021.1_tRNA5_Gln	51799	51875
JAYINM010000022.1_tRNA1_Met	255	330
JAYINM010000024.1_tRNA1_Gly	40641	40716
JAYINM010000024.1_tRNA2_Cys	40797	40870
JAYINM010000024.1_tRNA3_Gly	40940	41015
JAYINM010000030.1_tRNA1_Phe	5313	5388
JAYINM010000030.1_tRNA2_Pro	34599	34675
