gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	taxid	taxname	annotation_accessions	annotation_description
JAYIMG010000051.1|provirus_12098_22398_10	12098	13066	969	-1	0.689	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_11	13250	14305	1056	1	0.663	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_12	14629	14904	276	1	0.551	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_13	14901	17150	2250	-1	0.645	11	GGA/GAG/AGG	GENOMAD.146534.CP	0.0004755	46	0	0	0	1	NA	NA	NA	PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
JAYIMG010000051.1|provirus_12098_22398_14	17295	17390	96	1	0.406	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_15	17372	17638	267	-1	0.592	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_16	18338	18562	225	-1	0.591	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_17	18559	18912	354	-1	0.582	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_18	18909	19631	723	-1	0.651	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_19	20141	20413	273	1	0.608	11	GGA/GAG/AGG	GENOMAD.096365.VV	2.694e-28	109	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_20	20410	20592	183	1	0.612	11	None	GENOMAD.185254.VV	7.651e-27	103	0	0	0	1	NA	NA	NA	NA	NA
JAYIMG010000051.1|provirus_12098_22398_21	20585	21694	1110	1	0.595	11	GGAG/GAGG	GENOMAD.222250.VP	1.892e-09	62	0	0	0	2773	Inoviridae	MOBT	NA	PF02486;COG2946	DNA relaxase NicK
JAYIMG010000051.1|provirus_12098_22398_22	21691	21987	297	1	0.593	11	GGA/GAG/AGG	GENOMAD.117825.VV	2.778e-47	164	0	0	1	2773	Inoviridae	NA	NA	PF02303	Helix-destabilising protein
JAYIMG010000051.1|provirus_12098_22398_23	21997	22242	246	1	0.638	11	3Base/5BMM	GENOMAD.148914.VV	8.291e-21	87	0	0	1	1	NA	NA	NA	PF17091	Inovirus G7P protein
JAYIMG010000051.1|provirus_12098_22398_24	22270	22398	129	1	0.589	11	AGGAG	GENOMAD.112093.VV	2.595e-14	66	0	0	0	1	NA	NA	NA	NA	NA
