JAYIUU010000001.1_tRNA1_Trp	43906	43981
JAYIUU010000001.1_tRNA2_Thr	45324	45399
JAYIUU010000001.1_tRNA3_Gly	45433	45506
JAYIUU010000001.1_tRNA4_Tyr	45536	45621
JAYIUU010000001.1_tRNA5_Gln	49455	49531
JAYIUU010000002.1_tRNA1_Lys	177146	177221
JAYIUU010000007.1_tRNA1_???	104320	104392
JAYIUU010000008.1_tRNA1_Arg	144645	144721
JAYIUU010000008.1_tRNA2_Arg	144818	144894
JAYIUU010000014.1_tRNA1_Leu	3226	3312
JAYIUU010000029.1_tRNA1_Ala	32446	32521
JAYIUU010000035.1_tRNA1_Gly	23007	23082
JAYIUU010000035.1_tRNA2_Cys	23163	23236
JAYIUU010000035.1_tRNA3_Gly	23306	23381
