AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_035011025.1	ASM3501102v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318665	86812	63	WHRI 8306		University of Exeter	991952
GCF_035011045.1	ASM3501104v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318660	94012	39	WHRI 6504		University of Exeter	991952
GCF_035011065.1	ASM3501106v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318663	106968	313	WHRI 6507		University of Exeter	991952
GCF_035011085.1	ASM3501108v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318661	111109	227	WHRI 6505		University of Exeter	991952
GCF_035011285.1	ASM3501128v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315990	178288	185	WHRI 10046		University of Exeter	485808
GCF_035011305.1	ASM3501130v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36293680	102486	236	WHRI 10114		University of Exeter	485808
GCF_035011325.1	ASM3501132v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36293679	104703	283	WHRI 10004		University of Exeter	485808
GCF_035011505.1	ASM3501150v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315978	128861	145	WHRI 10041		University of Exeter	485808
GCF_035011525.1	ASM3501152v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318711	228289	165	WHRI 10028A		University of Exeter	485808
GCF_035011545.1	ASM3501154v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315988	234895	269	WHRI 10039		University of Exeter	485808
GCF_035011605.1	ASM3501160v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315987	253208	193	WHRI 10038		University of Exeter	485808
GCF_035011645.1	ASM3501164v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315980	123131	223	WHRI 10045		University of Exeter	485808
GCF_035011665.1	ASM3501166v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315986	193049	345	WHRI 10037		University of Exeter	485808
GCF_035011685.1	ASM3501168v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315985	116783	131	WHRI 10050A		University of Exeter	485808
GCF_035011705.1	ASM3501170v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315979	114476	332	WHRI 10043		University of Exeter	485808
GCF_035011725.1	ASM3501172v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36293678	116797	366	WHRI 10003		University of Exeter	485808
GCF_035011745.1	ASM3501174v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318710	207893	171	WHRI 10027B		University of Exeter	485808
GCF_035011765.1	ASM3501176v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315991	171860	109	WHRI 8963		University of Exeter	485808
GCF_035011785.1	ASM3501178v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36315989	172485	71	WHRI 10044		University of Exeter	485808
GCF_035011805.1	ASM3501180v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318707	157238	187	WHRI 3777A		University of Exeter	485808
GCF_035011845.1	ASM3501184v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36293677	111667	260	WHRI 8960		University of Exeter	485808
GCF_035012765.1	ASM3501276v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318664	114210	357	WHRI 6508		University of Exeter	991952
GCF_035012865.1	ASM3501286v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318659	117731	326	WHRI 6503		University of Exeter	991952
GCF_040194515.1	ASM4019451v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908786	124877	182	WHRI 2309A		University of Exeter	991952
GCF_040194555.1	ASM4019455v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908789	119821	157	WHRI 3963		University of Exeter	991952
GCF_040194575.1	ASM4019457v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908782	138618	167	WHRI 10253		University of Exeter	991952
GCF_040194615.2	ASM4019461v2	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908788	5126824	300	WHRI 3892A		University of Exeter	991952
GCF_040194635.1	ASM4019463v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908785	94426	179	WHRI 2243A		University of Exeter	991952
GCF_040194675.1	ASM4019467v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908758	128098	177	WHRI 10248		University of Exeter	991952
GCF_040194715.1	ASM4019471v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908764	124921	181	WHRI 10258		University of Exeter	991952
GCF_040194735.1	ASM4019473v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908762	198301	175	WHRI 10254		University of Exeter	991952
GCF_040194775.1	ASM4019477v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908761	198139	181	WHRI 10252		University of Exeter	991952
GCF_040194795.1	ASM4019479v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908784	124921	183	WHRI 10257A		University of Exeter	991952
GCF_040194815.1	ASM4019481v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908759	129161	176	WHRI 10249		University of Exeter	991952
GCF_040194855.1	ASM4019485v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908763	188889	176	WHRI 10256		University of Exeter	991952
GCF_040194875.1	ASM4019487v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908760	121124	176	WHRI 10250		University of Exeter	991952
GCF_040194895.1	ASM4019489v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908781	129161	170	WHRI 10251A		University of Exeter	991952
GCF_040194915.1	ASM4019491v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908757	145851	177	WHRI 10247		University of Exeter	991952
GCF_040194955.1	ASM4019495v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908756	136133	175	WHRI 10246		University of Exeter	991952
GCF_040194975.1	ASM4019497v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908780	122182	168	WHRI 10245		University of Exeter	991952
GCF_040194995.1	ASM4019499v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908779	149400	177	WHRI 10244A		University of Exeter	991952
GCF_040195075.1	ASM4019507v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908750	168554	178	WHRI 10221		University of Exeter	991952
GCF_040195135.1	ASM4019513v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908773	172418	172	WHRI 10219A		University of Exeter	991952
GCF_040195155.1	ASM4019515v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908768	188888	177	WHRI 10067B		University of Exeter	991952
GCF_040195195.1	ASM4019519v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908775	228376	174	WHRI 10219D		University of Exeter	991952
GCF_040195235.1	ASM4019523v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908770	181888	151	WHRI 10068B		University of Exeter	991952
