CP142085.2_649 # 785875 # 786843 # 1 # ID=1_649;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.670	COG4973	8.970E-129	400
CP142085.2_984 # 1208439 # 1209797 # 1 # ID=1_984;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;genetic_code=11;gc_cont=0.609	PF00589.RP35	6.636E-14	64
CP142085.2_3156 # 3773848 # 3775356 # -1 # ID=1_3156;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.634	PF00589.RP35	1.926E-10	53
CP142085.2_2653 # 3197163 # 3198746 # 1 # ID=1_2653;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.649	PF00589.RP35	6.087E-12	58
CP142085.2_397 # 460416 # 460862 # 1 # ID=1_397;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.597	PRK09692	2.527E-15	63
CP142085.2_2511 # 3031898 # 3033088 # 1 # ID=1_2511;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.588	PRK09692	7.331E-43	153
CP142085.2_2070 # 2519860 # 2520828 # 1 # ID=1_2070;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.688	PF00589.RP35	9.912E-12	56
CP142085.2_3142 # 3759221 # 3760621 # -1 # ID=1_3142;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.609	PF00589.RP35	1.699E-14	66
CP142085.2_994 # 1216323 # 1217723 # -1 # ID=1_994;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.604	PF00589.RP35	4.097E-15	68
CP142085.2_2510 # 3030148 # 3031644 # -1 # ID=1_2510;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.604	PF00589.RP35	5.554E-12	58
CP142085.2_3492 # 4145263 # 4146234 # -1 # ID=1_3492;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.710	TIGR02225	1.111E-117	368
CP142085.2_2502 # 3023172 # 3024572 # 1 # ID=1_2502;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.601	PF00589.RP35	1.699E-14	66
CP142085.2_2076 # 2531968 # 2533668 # -1 # ID=1_2076;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.673	TIGR02224	1.118E-26	106
