seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
JAYIWO010000084.1	4816	No terminal repeats	NA	6	11	0.9997	NA	4	7.7122	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAYIWO010000037.1|provirus_35777_53541	17765	Provirus	35777-53541	19	11	0.9992	NA	8	19.9548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAYIWO010000063.1|provirus_10424_21430	11007	Provirus	10424-21430	18	11	0.9992	NA	2	15.9263	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAYIWO010000023.1|provirus_61_14939	14879	Provirus	61-14939	15	11	0.9986	NA	3	13.1519	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
JAYIWO010000122.1	670	No terminal repeats	NA	1	11	0.9981	NA	1	1.3647	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAYIWO010000095.1	2486	No terminal repeats	NA	3	11	0.9962	NA	3	4.1533	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAYIWO010000119.1	741	No terminal repeats	NA	1	11	0.9924	NA	1	1.4263	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAYIWO010000103.1	1999	No terminal repeats	NA	4	11	0.9833	NA	3	5.4286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAYIWO010000118.1	790	No terminal repeats	NA	3	11	0.9725	NA	2	2.7957	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
JAYIWO010000082.1	5935	No terminal repeats	NA	7	11	0.9724	NA	0	1.7183	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
JAYIWO010000123.1	656	No terminal repeats	NA	1	11	0.9152	NA	1	1.2618	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
