seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAUIPZ010000047.1	28862	No terminal repeats	30	11	1.0000	NA	17	30.7770	MOBH;G_tfc19;G_tfc18;G_tfc22;G_tfc23;G_tfc24;virb4;G_tfc15;G_tfc14;G_tfc13;G_tfc12;G_tfc11;G_tfc10;G_tfc9;G_tfc8;G_tfc7;t4cp1;G_tfc5;T_virB1;G_tfc3;G_tfc2	NA
JAUIPZ010000053.1	18747	No terminal repeats	21	11	1.0000	NA	1	5.8830	NA	NA
JAUIPZ010000064.1	9352	No terminal repeats	11	11	0.9999	NA	0	5.8391	NA	NA
JAUIPZ010000070.1	5847	No terminal repeats	9	11	0.9998	NA	0	1.5596	NA	NA
JAUIPZ010000077.1	3179	No terminal repeats	4	11	0.9998	NA	1	3.4366	T_virB6	NA
JAUIPZ010000073.1	5638	No terminal repeats	9	11	0.9997	NA	0	0.3559	NA	NA
JAUIPZ010000076.1	3640	No terminal repeats	5	11	0.9996	NA	0	1.1242	NA	NA
JAUIPZ010000028.1	81901	No terminal repeats	74	11	0.9995	NA	1	1.7276	NA	NA
JAUIPZ010000057.1	15181	No terminal repeats	12	11	0.9991	NA	0	1.2466	NA	NA
JAUIPZ010000058.1	15037	No terminal repeats	13	11	0.9987	NA	0	2.2371	NA	NA
JAUIPZ010000078.1	3061	No terminal repeats	3	11	0.9964	NA	2	2.6906	T_virB6;virb4	NA
JAUIPZ010000062.1	10716	No terminal repeats	8	11	0.9681	NA	0	0.3312	NA	NA
JAUIPZ010000045.1	33294	No terminal repeats	29	11	0.9401	NA	0	3.0122	NA	NA
JAUIPZ010000065.1	8369	No terminal repeats	6	11	0.9296	NA	0	0.3825	NA	NA
