gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	taxid	taxname	annotation_accessions	annotation_description
JAUINJ010000039.1|provirus_3_4961_1	3	335	333	-1	0.568	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAUINJ010000039.1|provirus_3_4961_2	337	657	321	-1	0.551	11	GGAG/GAGG	GENOMAD.214060.VP	2.027e-46	162	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAUINJ010000039.1|provirus_3_4961_3	668	1582	915	-1	0.608	11	GGA/GAG/AGG	GENOMAD.097192.VV	1.461e-38	149	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAUINJ010000039.1|provirus_3_4961_4	1868	1996	129	-1	0.566	11	AGGAG	GENOMAD.112093.VV	2.595e-14	66	0	0	0	1	NA	NA	NA	NA	NA
JAUINJ010000039.1|provirus_3_4961_5	2024	2275	252	-1	0.639	11	GGA/GAG/AGG	GENOMAD.148914.VV	9.112e-21	87	0	0	1	1	NA	NA	NA	PF17091	Inovirus G7P protein
JAUINJ010000039.1|provirus_3_4961_6	2279	2575	297	-1	0.589	11	GGA/GAG/AGG	GENOMAD.222243.VP	2.269e-49	170	0	0	1	2773	Inoviridae	NA	NA	PF02303	Helix-destabilising protein
JAUINJ010000039.1|provirus_3_4961_7	2572	3612	1041	-1	0.582	11	GGAG/GAGG	GENOMAD.222675.VP	1.303e-229	704	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAUINJ010000039.1|provirus_3_4961_8	3605	3772	168	-1	0.631	11	GGA/GAG/AGG	GENOMAD.096365.VV	8.09e-17	74	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAUINJ010000039.1|provirus_3_4961_9	4311	4961	651	-1	0.564	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAUINJ010000060.1|provirus_63_6476_1	63	1385	1323	-1	0.618	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAUINJ010000060.1|provirus_63_6476_2	1387	1707	321	-1	0.570	11	GGAG/GAGG	GENOMAD.214060.VP	1.113e-44	157	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAUINJ010000060.1|provirus_63_6476_3	1718	1999	282	-1	0.578	11	GGAG/GAGG	GENOMAD.097192.VV	3.402e-12	63	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAUINJ010000060.1|provirus_63_6476_4	1951	2271	321	-1	0.654	11	None	GENOMAD.227990.VV	4.164e-31	118	0	0	0	1	NA	NA	NA	NA	NA
JAUINJ010000060.1|provirus_63_6476_5	2876	3004	129	-1	0.581	11	AGGAG	GENOMAD.112093.VV	2.595e-14	66	0	0	0	1	NA	NA	NA	NA	NA
JAUINJ010000060.1|provirus_63_6476_6	3032	3277	246	-1	0.638	11	None	GENOMAD.148914.VV	8.291e-21	87	0	0	1	1	NA	NA	NA	PF17091	Inovirus G7P protein
JAUINJ010000060.1|provirus_63_6476_7	3287	3583	297	-1	0.596	11	GGA/GAG/AGG	GENOMAD.117825.VV	2.778e-47	164	0	0	1	2773	Inoviridae	NA	NA	PF02303	Helix-destabilising protein
JAUINJ010000060.1|provirus_63_6476_8	3580	4689	1110	-1	0.595	11	GGAG/GAGG	GENOMAD.222250.VP	1.892e-09	62	0	0	0	2773	Inoviridae	MOBT	NA	PF02486;COG2946	DNA relaxase NicK
JAUINJ010000060.1|provirus_63_6476_9	4682	4864	183	-1	0.612	11	None	GENOMAD.185254.VV	7.651e-27	103	0	0	0	1	NA	NA	NA	NA	NA
JAUINJ010000060.1|provirus_63_6476_10	4861	5133	273	-1	0.608	11	GGA/GAG/AGG	GENOMAD.096365.VV	2.694e-28	109	0	0	0	2773	Inoviridae	NA	NA	NA	NA
JAUINJ010000060.1|provirus_63_6476_11	5423	5809	387	1	0.592	11	GGA/GAG/AGG	GENOMAD.223687.VP	9.436e-06	46	0	0	1	2773	Inoviridae	NA	NA	PF12472	Phage related protein
JAUINJ010000060.1|provirus_63_6476_12	6036	6476	441	1	0.590	11	GGA/GAG/AGG	GENOMAD.225219.VP	3.427e-17	80	0	0	0	1	NA	NA	NA	NA	NA
