seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAYIRB010000067.1	3568	No terminal repeats	5	11	1.0000	NA	0	2.9906	NA	NA
JAYIRB010000076.1	1114	No terminal repeats	2	11	1.0000	NA	1	3.4366	T_virB6	NA
JAYIRB010000057.1	9675	No terminal repeats	10	11	1.0000	NA	2	8.9978	G_tfc23;G_tfc22;G_tfc18;G_tfc19;MOBH	NA
JAYIRB010000054.1	11700	ITR	10	11	1.0000	NA	2	5.1548	B_traI;T_virB6	NA
JAYIRB010000066.1	3819	No terminal repeats	6	11	0.9999	NA	1	3.4366	T_virB6	NA
JAYIRB010000065.1	4726	No terminal repeats	6	11	0.9999	NA	0	1.4781	NA	NA
JAYIRB010000053.1	13852	No terminal repeats	15	11	0.9999	NA	0	1.7183	NA	NA
JAYIRB010000048.1	17202	No terminal repeats	9	11	0.9995	NA	0	2.5303	NA	NA
JAYIRB010000052.1	15273	No terminal repeats	13	11	0.9970	NA	0	1.0007	NA	NA
JAYIRB010000062.1	7744	No terminal repeats	6	11	0.9625	NA	0	0.8983	NA	NA
JAYIRB010000058.1	9651	No terminal repeats	7	11	0.9520	NA	0	0.2071	NA	NA
JAYIRB010000024.1	74809	No terminal repeats	69	11	0.8915	NA	0	0.4902	NA	NF000496
JAYIRB010000061.1	8244	No terminal repeats	4	11	0.8641	NA	0	0.7223	NA	NA
