JBEFUV010000001.1_tRNA1_Thr	105442	105517
JBEFUV010000001.1_tRNA2_Val	275077	275151
JBEFUV010000002.1_tRNA1_Ala	222717	222792
JBEFUV010000003.1_tRNA1_???	188260	188332
JBEFUV010000004.1_tRNA1_Val	14765	14839
JBEFUV010000004.1_tRNA2_Asn	17692	17768
JBEFUV010000004.1_tRNA3_Met	46527	46603
JBEFUV010000004.1_tRNA4_Leu	61758	61842
JBEFUV010000008.1_tRNA1_Arg	95832	95908
JBEFUV010000008.1_tRNA2_Arg	96005	96081
JBEFUV010000008.1_tRNA3_Glu	136425	136499
JBEFUV010000010.1_tRNA1_Leu	48174	48260
JBEFUV010000012.1_tRNA1_Gln	58859	58933
JBEFUV010000012.1_tRNA2_Met	58988	59064
JBEFUV010000013.1_tRNA1_Leu	62672	62758
JBEFUV010000014.1_tRNA1_Lys	2182	2257
JBEFUV010000017.1_tRNA1_Met	255	330
JBEFUV010000027.1_tRNA1_Gly	2409	2482
JBEFUV010000029.1_tRNA1_Leu	13294	13378
